登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因,網站連結
098法登他000001,1,2,曾定東,128,0980109,0980109,0980109,6冊21頁,2,5,周美琴,財團法人靈鷲山佛教基金會,0860122,台北縣貢寮鄉福連村香蘭街7-1號,以弘揚佛法、發揚中華固有文化、培育僧才、促進佛教教義之研究、推廣佛教活動、啟迪世人心智、淨化社會及贊助佛教相關建設等為宗旨。,釋星道法師捐助,內政部86年1月17日台內民字第8601104號函,永久,165628216.40,1,0980109,0980504,,王素敏,台北縣永和市保生路2號17樓,234,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/YchKbQjF2CmSodsWsU7JxllUjtoD3hrVYPQ768FIHF0k7GJRPsSW09DkdRM=
098法登他000011,1,2,曾定東,38,0980306,0980306,0980306,4冊5頁,2,3,張至孝,財團法人台灣省基隆市樂仙宮,0630927,基隆市仁愛區南榮路134巷3號,宣揚儒道釋三教教義辦理社會慈善及教育事業,由信徒捐助,基隆市政府63年8月1日（民行團字第024號）,永久無限期,320000.00,1,0980306,0980504,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/zIOwIBc5eQSKWK2IQqGCxNUZqAPv1u49gF9qQNpRihZvTK9jHkt9Q1erQg==
098法登他000012,1,2,曾定東,12,0980309,0980309,0980309,1冊12頁,1,11,謝修平,財團法人台灣省基隆市私立二信高級中學,0540603,基隆市立德路243號,發展台灣省基隆市私立二信高級中學,捐助,台灣省政府教育廳53年7月8日教二字第06413號,"永  久",655886297.00,1,0980310,0980504,,李麗茵,基隆市立德路243號,202,,,,,,,,"1.董監事認其屆滿改選‧2.捐助及組織章程變更‧3.財產總額變更‧
財產總額由原來新台幣陸億伍仟貳佰伍拾壹萬零柒拾伍元整，變更為新台幣陸億伍仟伍佰參拾肆萬柒仟貳佰伍拾陸元整。",,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/pkW7j5ptVGgr-no-BIYlzCHn4OgM0gs1wfODX6JdmGlozayoxaK2r1Sa1g==
098法登他000013,1,2,曾定東,14,0980323,0980323,0980323,1冊14頁,1,0,黃重生,財團法人台灣省基隆市基督徒聚會處,0541228,基隆市中正路216號5樓,為信奉基督耶蘇為世人教主，特籌建禮拜堂為永人崇拜祈禱并傳揚福音講解聖經，教導引人行善為良好國民及促進辦理社會福利事業,捐助,基隆市政府80年09月26日（80）基府民禮字第69916號,不定期,176900.00,1,0980323,0980504,,陳秉政,基隆市中正路216-1號6樓,202,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/KtMKr9ROjsTfxuupBJfOBchwQ5VugGn9E7jLnWImi7H1q5EbmWkaTGmQRg==
098法登他000014,1,2,曾定東,180,0980326,0980326,0980326,8冊10頁,2,2,張通榮,財團法人基隆市體育發展基金會,0950310,基隆市安樂路2段164號8樓,本會之設立以發展本市體育暨提昇體育風氣為宗旨，依有關法令規定辦理下列業務：獎勵推動體育重點發展學校及設置各項訓練中心。獎勵本市優秀選手暨績優教練。補助購置各項運動設備暨器材。培訓運動教練暨裁判。輔導學校體育之相結合。辦理符合本會設立宗旨相關之各項體育事務。,基隆市政府編列預算,基隆市政府95年1月12日基府教體參字第0950004133號函。,永久,14504000.00,1,0980326,0980504,,莊明哲,基隆市安樂路2段164號8樓,204,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/NIO8w-5Kx9_CFpOjQkrcAJApP6NB-qPlIuH8vqqH_6AkgOL1d0yUpF0eQLU=
098法登他000015,2,2,曾定東,145,0980413,0980413,0980413,7冊9頁,2,15,楊蘇珍琴,社團法人基隆市聾啞福利協進會,0901225,基隆市中正路102號7樓之5,本會為依法設立，非以營利為目的之社會團體，以研究聾啞福利問題，並發動社會力量配合政府興辦聾啞福利事業為宗旨。,會員繳會費、社會人士捐款。,民國90年9月3日（90）基府社行字第078299號,永久,1004104.00,1,0980413,0980504,,林媛姬,基隆市信義區義七路9巷3-2號3樓,201,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/eIn93z5aqKz1zHpGPOgXgt0VEPS-ggxppu5HUTYWT6ozJWGvLfh9hWpxuzw=
098法登他000016,1,2,曾定東,137,0980413,0980413,0980413,7冊1頁,2,5,黃穗晴,財團法人台北縣私立靈鷲山社會福利慈善事業基金會,0830409,台北縣貢寮鄉福連村香蘭街7之1號,以舉辦社會福利慈善事業為宗旨。,黃虹如捐助,台北縣政府83年3月23日(83)北府社三字第099267號函,永久,3500000.00,1,0980413,0980504,,潘麗美,台北縣永和市保生路2號17樓,234,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/RqI6YbKH4BQ0hvIRE-lD-XH0-cil1F8OBjodXSDM3-PsDM9VvbQQU9XdVqo=
098法登他000017,1,2,曾定東,28,0980415,0980415,0980415,3冊9頁,1,,譚國才,財團法人台灣省基隆市中華基督教浸信會聖光堂,0610619,基隆市暖暖區過港路92號,闡揚基督教真理及社會服務,由信徒自由捐助,基隆市政府於中華民國61年5月24日許可設立。,永久性,57874717.00,1,0980415,0980504,,成耀民,基隆市暖暖區暖中路249號2樓,205,,,,,,,,"二、原董事李金壽、余吳文英、何綽儀任期屆滿卸任，由新任董事譚國才
　　陳希誠、劉郭春雪接任。
    譚國才   住基隆市寧靜街五十四號。
    陳希誠   住台北市民權東路三段一二五巷二號四樓。
    劉郭春雪 住基隆市過港路八十八號四樓。
原登記財產總額為新台幣伍仟貳佰伍拾萬參仟肆佰元整，變更登記為新台幣伍仟柒佰捌拾柒萬肆仟柒佰壹拾柒元整。",,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/GSE3NwXprcKzWNrgUEGKnMaOsaF8K9-xnwH0BXoxSpmffwDN7IkTLRGRng==
098法登他000018,1,2,曾定東,129,0980417,0980417,0980417,6冊22頁,2,4,張通榮,財團法人基隆社區大學教育基金會,0890321,基隆市基金二路3巷1之1號,推展市民終身教育建立學習社會,市政府捐助、學費收入、募款,基隆市政府89年2月18日（89）基府教社字第014001號,永久,10000000.00,1,0980417,0980504,,陳昱穎,基隆市暖暖街350號,205,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/LpRptHH11pph3EsfXbPrZhTKLQ8yqkAa0Q5ZHPANjx39x6nUhP05coZSHKs=
098法登他000019,1,2,曾定東,190,0980420,0980420,0980420,8冊20頁,1,1,余宏仁,財團法人法鼓佛教學院,0960116,台北縣金山鄉西勢湖2-6號,以創辦財團法人法鼓佛教學院，並謀其發展為目的。,捐助。,教育部95.08.11.台高（四）字第0950116326號,永久,819741893.00,1,0980420,0980504,,朱素蓮,台北縣金山鄉半嶺14之5號,208,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Xtpk4F4k_q0g9PsvMxF9pvOgXXEeAl99LvluvGOV4gD7M-xusm4IBq0q9G0=
