登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因,網站連結
098法登他000001,1,2,黃嬿婉,271,0980121,0980122,0980206,7冊32頁,1,1,林光義,財團法人陳定南教育基金會,0960625,宜蘭縣宜蘭市民族路338號7樓,本會以推動廉能政府，落實法治教育，培養公民能力為宗旨。,由董事林光義等人捐助，並接受個人及團體捐贈。,宜蘭縣政府中華民國96年6月14日府教終字第0960075890號函,永久,2000000.00,1,0980123,0980526,,,,,,,,,,,,"董事李界木辭任，繼任董事為陳美伶。
代表法人之董事變更為林光義。",,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/O11tWRu77Xu5f8CgbYi43kuv23ts18s_N-Xzh2mqWCgJbctE8S1aI6fSia8=
098法登他000002,1,2,黃嬿婉,107,0980202,0980211,0980221,3冊15頁,2,5,陳邦禎,財團法人台灣省宜蘭縣私立中道高級中學,0850122,宜蘭縣壯圍鄉功勞路12號,為遵照國家教育政策暨現行教育法令之規定，辨理高級中學暨附設國民中、小學部，並謀其健全發展。,由黃城、黃建勇、黃建進、黃建民、莊苾芬、吳昭烈等六人捐助。,台灣省政府教育廳84年5月17日八四教二字第07314號函,永久,428824340.00,1,0980212,0980526,,黃建民,宜蘭縣壯圍鄉功勞路12號,263,,,,,,,,"改選第五屆董事及董事長。
財產總額原登記為「新台幣412,745,752元整」，變更為「新台幣428,824,340元整」。",,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/HTYRFEro-tXZTuGXTIlxBNxcY0pOv6FONtX98NhjMOA5NsDZ6nEJnp_ySyU=
098法登他000003,1,2,黃嬿婉,92,0980204,0980211,0980224,5冊28頁,1,13,劉石純,財團法人蘭陽技術學院,0550827,宜蘭縣頭城鎮復興路79號,為遵照國家教育政策暨現行教育法令之規定，辦理蘭陽技術學院，並謀其健全發展。,創辦人林才添、朱綺芬、沙榮峰捐贈。,教育部中華民國55年2月8日台(55)高字第1583號,永久,1842797726.00,1,0980212,0980526,0980303,,,261,,,,,,,,"財產總額原登記「新台幣1,833,257,448元整」變更為「新台幣1,842,797,726元整」。",,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/QGZF_HL58IH3DTc4Zt_ZMMObkYjyE-DO0SIOG1Rj62TxmjNPETXlNUz_KA==
098法登他000004,1,2,黃嬿婉,248,0980205,0980206,0980217,7冊10頁,2,2,李瑞南,財團法人宜蘭縣力行國民小學教育基金會,0941129,宜蘭縣宜蘭市力行街2號,協助宜蘭縣力行國民小學落實傳統藝術教育、充實教學設備、改善環境、發展校務、獎勵教師研究進修、促進學生敦品勵學為目的。,"由潘仁修等30人捐助新臺幣600,000元整，宜蘭縣政府補助新臺幣1,500,000元整",宜蘭縣政府中華民國94年11月8日府教終字第0940142177號函同意設立,永久,2100000.00,1,0980206,0980526,,林稹甫,宜蘭縣宜蘭市黎明三路1段60巷28號,260,,,,,,,,第一屆董事任期屆滿，改選第二屆董事。,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/zucRuyvrWsHvnojSPkAl_ZmmCbwFRtT_o3XAW4YgxND90EEEFXBrkkuC3Rk=
098法登他000005,1,2,黃嬿婉,108,0980209,0980211,0980221,3冊16頁,2,7,韓秦秀葉,財團法人慈懷社會福利基金會,0850129,宜蘭縣宜蘭市國榮路1之1號,輔導與安置不幸兒童少年並增進其福利,由創辦人韓秦秀葉等人捐助設立基金,宜蘭縣政府中華民國80年4月9日八十府社福字第27604號函,永久,6000000.00,1,0980212,0980526,0980303,秦美蘭,宜蘭縣宜蘭市國榮路1之1號,260,,,,,,260,,第六屆董事任期屆滿，改選第七屆董事。,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/2W8kxNyrzm4dDYJ4UOByPDeELRZLuP10NW9t6jTrIxKV4Gm3R5X9HCpqzsc=
098法登他000006,1,2,黃嬿婉,164,0980209,0980219,0980303,4冊29頁,1,4,星雲,財團法人私立佛光大學,0880614,宜蘭縣礁溪鄉林尾路160號,遵照國家教育政策暨現行教育法令之規定，辦理佛光大學，並謀其健全發展。,由星雲等人捐助,教育部中華民國85年8月6日(85)高(3)字第85514687號函,永久,3843884489.00,1,0980219,0980526,0980310,陳蕾如,宜蘭縣礁溪鄉林尾路160號,262,,,,,,,,"財產總額原登記為「新臺幣3,428,239,442元整」，變更為「新臺幣3,843,884,489元整」。",,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/a9WXxHkM4NwBYnYQNVMp6qXsdUkOuO-3A3BojDnxnm4Mx_WTG8pLI1jE83o=
098法登他000007,1,2,黃嬿婉,128,0980210,0980211,0980224,3冊35頁,1,3,史可堯,財團法人台灣基督宣道團,0860628,宜蘭縣羅東鎮四育路48號3樓,本法人宗旨係本基督之精神，傳揚基督教義及辦理社會公益慈善事業。,由美國及台灣基督及愛心人士等捐助,宜蘭縣政府中華民國86年5月31日八六府民禮字第62710號函,永久,7000000.00,1,0980212,0980526,0980303,簡昶文,宜蘭縣冬山鄉大埤二路189巷36號,265,,,,,,,,"修改捐助章程第二條，內容如附件。
分事務所名稱變更：來吧基督教會。分事務所地點增列：屏東縣新園鄉南興路135-1號。",,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/vPpCHy2lLtWPOkLKi9X50Y1955uUfaWulLI4d_i_q7dAr3Pf4dPhooMSpr8=
098法登他000009,1,2,黃嬿婉,174,0980216,0980217,0980305,4冊39頁,2,4,李孟潔,財團法人宜蘭縣黎明國民小學教育基金會,0890107,宜蘭縣宜蘭市校舍路1號,協助宜蘭縣宜蘭市黎明國民小學發展校務、改善教學環境、獎勵教師研究進修、促進學生敦品勵學、提昇教育品質為目的。,由林文光、林博庸、家長會共同捐助伍拾萬元、宜蘭縣政府補助壹佰伍拾萬元,宜蘭縣政府中華民國88年12月6日府教社字第134890號函,永久,2000000.00,1,0980218,0980526,0980310,,,260,,,,,,,,第3屆董事任期屆滿，改選產生第4屆董事。,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/bRTtJ8pkOTBkfxS3bw7NkPChRzf7kQYILihlIJTCflO669kYPfI5AZ2GXjk=
098法登他000010,1,2,黃嬿婉,208,0980216,0980217,0980227,5冊38頁,2,3,柳逸義,財團法人真愛教育基金會,0920217,宜蘭縣宜蘭市新興路212號6樓之2,本會效法基督博愛精神，推展社會教育，從事關懷全人發展，透過各項教育活動，促進青少年及兒童身心平衡，協助學校推廣全人教育，敦厚社會風氣，美化心靈生活為目的。,由林義傑、聯禾有線電視股份有限公司等三家公司共同捐助。,宜蘭縣政府中華民國91年12月25日府教終字第0910147185號,永久,3200000.00,1,0980218,0980526,0980303,,,,,,,,,,,"第2屆董事任期屆滿，改選產生第3屆董事。
代表法人之董事變更為柳逸義。",,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/-Se-oAfK8w1XwBRvRjycFjVia4nXywtHT4nxLXzQ15CW_vFUkqSA4m-0XlY=
098法登他000012,1,2,黃嬿婉,267,0980218,0980219,0980227,7冊28頁,2,2,王文貴,財團法人台灣傳統藝術推廣基金會,0960227,宜蘭縣五結鄉五濱路2段201號,配合經營國立傳統藝術中心園區，永續推廣傳統藝術為宗旨，秉持傳統藝術活體保存之目的，積極進行研究、傳習、教育及推廣。,由統一蘭陽藝文股份有限公司捐助新台幣壹仟萬元整。,宜蘭縣政府96年1月16日府文行字第0960000160號,永久,10000000.00,1,0980220,0980526,0980310,,,,,,,,,,,第1屆董事任期屆滿，改選產生第2屆董事。,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/APbWAdqKEMLqrNUswZH199dOYY3dPg1Q0lnFOcAYY1Y5xZx5Zn_Dep5Yq8g=
