登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
098法登他000001,1,2,張世賢,211,0980106,0980106,0980106,9冊9頁,2,2,洪水法,財團法人高鳳技術學院,0920527,屏東縣長治鄉復興村新興路38號,創辦高鳳技術學院，配合政府發展高等教育。,捐贈。,教育部、92年5月19日台技（二）字第0920070016A號,永久,1033328668.00,1,0980106,0980225,,,,,,,,,,,,財產總額變更,,,,
098法登他000002,2,2,張世賢,267,0980108,0980108,0980108,12冊5頁,2,2,宋怡蕙,社團法人屏東縣花木蘭文化產業發展協會,0950925,屏東縣麟洛鄉民族路183巷1號,發展文化產業,會員繳納會費及捐款,95年8月7日屏東縣政府屏府社政字第0950149833號函,永久,15687.00,1,0980108,0980225,,,,,,,,,,,,事務所變更地址,,,,
098法登他000003,2,2,全國榮,162,0980110,0980110,0970110,6冊17頁,2,8,盧建和,社團法人屏東縣德恩身心障礙關懷協會,0880927,屏東市建豐路180巷35號,協助身心障礙者就業，創業輔導及福利服務。,政府補助、社會捐款、基金孳息及其他收入。,屏東縣政府　八十八年九月十三日　八八屏府社政字第一六０七七八號,永久,50369.00,1,0980110,0980225,,,,,,,,,,,,任期屆滿改選,,,,
098法登他000004,1,2,張世賢,101,0980110,0980110,0980110,3冊30頁,2,5,劉慶中,財團法人國立屏東教育大學教育基金會,0840426,屏東市民生路4之18號,運用社會資源，推動教育研究，發展教育建設，提昇本校教育品質。,募款、自由捐贈。,教育部八十四年三月二十五日台(84)社013766號函。,永久,27000000.00,1,0980110,0980225,,,,,,,,,,,,捐助章程變更。,,,,
098法登他000005,2,2,張世賢,241,0980113,0980113,0980113,10冊19頁,2,3,陳錦樹,社團法人屏東縣母語教師協會,0940221,屏東縣萬丹鄉西環路756號,以推廣母語教學及促進母語教師權益，發展母語文化智慧經驗，延續薪火相傳。,會員會費,屏東縣政府中華民國93年12月30日屏府社政字第0930241988號函,永久,35000.00,1,0980113,0980225,,,,,,,,,,,,任期屆滿變更,,,,
098法登他000006,1,2,張世賢,7,0980115,0980115,0980115,1冊7頁,1,14,房徐蕙英,財團法人屏東縣私立美和高級中學,0520715,屏東縣內埔鄉美和村學人路323號,為協助政府發展教育.,由籌措之教育經費捐助、並由徐傍興捐助二佰萬元,84年12月28日台灣省政府教育廳(84教二字第120627號函),永久,88305188.00,1,0980115,0980225,,,,,,,,,,,,"任期內補選。
財產總額變更。",,,,
098法登他000007,1,2,張世賢,2,0980122,0980122,0980122,1冊2頁,2,13,林耀輝,財團法人台灣省屏東縣潮州三山國王廟,0480623,屏東縣潮州鎮西市路三十三號,"確保三山國王廟財產收益及祭祀並興辦公益慈善事業推行文化建設為        目的",由信徒自由捐助,四十八年三月二十六日台灣省屏東縣政府,永久,11528300.00,1,0980122,0980225,,,,,,,,,,,,任期屆滿改選,,,,
098法登他000008,1,2,張世賢,14,0980122,0980122,0980122,1冊15頁,2,14,溫興春,財團法人美和技術學院,0541021,屏東縣內埔鄉美和村屏光路23號,為協助政府發展教育並培養護理管理人才為宗旨。,由徐傍興捐助,教育部，55年8月11日，55高13292號,永久,1796620651.30,1,0980123,0980225,,,,,,,,,,,,"董監事任期屆滿變更。
財產總額變更。",,,,
098法登他000009,1,2,張世賢,27,0980123,0980123,0980123,1冊11頁,2,12,陳敬佑,財團法人台灣省屏東縣私立華洲高級工家職業學校,0590123,屏東市歸仁路63巷99號,創辦高級工業家事職校，協助政府發展職業教育,由創辦人郭榮祥及現任部份董事捐贈,五十八年六月十五日台灣省政府教育廳,永久,309986878.00,1,0980123,0980225,,,,,,,,,,,,財產變更。,,,,
098法登他000010,2,2,張世賢,228,0980209,0980209,0980209,10冊6頁,2,3,盧志良,社團法人屏東縣原住民資訊協會,0930914,屏東縣內埔鄉老埤村壽比路216號,傳承發展原住民文化精神，依有關法令規定辦理公益性之資訊推廣工作。,入會費、常年會費。,屏東縣政府民國九十二年六月十八日屏府社政字第0920097206號,永久,26300.00,1,0980209,0980923,,,,,,,,,,,,更正理事長之姓氏,,,,
098法登他000011,2,2,張世賢,253,0980211,0980217,0980217,11冊7頁,2,9,蘇清誥,社團法人屏東縣龍燈慈善會,0941012,屏東縣新園鄉仙吉村仙隆路16號,扶持老弱、濟助急難,會員之入會費及捐助,84年4月7日屏府政字第50708號函。,永久,202915.00,1,0980217,0980410,,,,,,,,,,,,變更會址及董事改選變更,,,,
