登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因,網站連結
099法登他000001,1,2,陳曉青,200,0990106,0990205,0990206,6冊39頁,2,3,盧克宙,財團法人臺灣省雲林縣私立福智高級中學,0940421,雲林縣古坑鄉麻園村平和20號,為遵照國家教育政策暨現行教育法令之規定，辦理高級中學，並謀其健全發展。,由財團法人福智文教基金會捐助,教育部中華民國90年06月22日台（90）教中(二)字第90509179號函准予籌設。,永久,273671780.00,1,0990205,,,林素雲,雲林縣古坑鄉麻園村平和21號,646,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/KjHG0qxkjBciqiv6bPs2F7te2Uk-3BEi71neiT46oa78HJh9zUyvU19iChI=
099法登他000002,1,2,陳曉青,116,0990108,0990115,0990118,5冊6頁,2,4,陳清水,財團法人臺灣省雲林縣私立義峰高級中學,0880914,雲林縣林內鄉烏麻村長源201號,遵照國家教育政策暨現行教育法令之規定，辦理高級中等學校並謀其健全發展。,由張天來等捐助，設立後得繼續接受捐助。,教育部中華民國88年11月30日臺（88）教中（二）字第88505832號,永久,247219763.00,1,0990115,,,陳岱吟,雲林縣林內鄉烏麻村長源201號,643,,,,,,,,"財產總額變更為新台幣236,873,632元正。",,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/vtzIFkwFoXdpKLOiZWdlPEM3VxIKYN-ASTwiqdsiCjDwEJ_WZE1OCyMwZh8=
099法登他000003,1,2,陳曉青,193,0990126,0990202,0990203,6冊32頁,2,10,羅紀琼,財團法人伊甸社會福利基金會,0930927,台北巿文山區萬美街1段55號3樓,以舉辦社會福利為目的。,由劉俠等人繼續捐助,"台北市政府社會局 72年03月19日北市社四字第9699號函，內政部93年05月17日內授中社字第0930700766號函同意設立分事務所。",永久,237823286.00,1,0990201,,,殷惠玲,雲林縣斗六市延平路135號,640,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/doZCcvgDHPjpOZvLxeAcGBMyvsUBFmc8XkW0vYpvUE7ImeMb53BHagDbspI=
099法登他000004,1,2,陳曉青,266,0990129,0990225,0990226,8冊3頁,2,2,羅貞美,財團法人斗南基督教浸信會,0500320,雲林縣斗南鎮中山路163號,宣揚基督福音，造就信徒靈性，竭誠服務社會。,全體會員信徒自由奉獻，及其他熱心基督教人士或團體捐贈之。,台灣嘉義地方法院民國50年3月20日,無限期,109400.00,1,0990225,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Cxx8Zed7Rmc_lEdS8EMGhUedu2_1AGBEwfWRTbjAaKj0hBe3DFvh2ZjmOaA=
099法登他000005,2,2,陳曉青,198,0990129,0990330,0990331,6冊37頁,2,,黃秋菊,社團法人雲林縣社會關懷協會,0940204,雲林縣斗六市溪洲里中南路290巷67弄26號,"本會非以營利為目的。
本會鑑於社會及家庭結構變遷，社會福利（兒童福利、少年福利、低收入戶福利、身心障礙福利、老人福利、婦女福利、志願服務．．）、自然生態環境資源、地方文化資產保存與維護、地方教育推展、社區總體營造發展等，必然是社會最關懷的議題。秉持關懷雲林、疼惜故鄉的一貫宗旨，持續性的推動社會福利及社會關懷工作之推展，除了提供社會福利及社會關懷服務之外，也進行社會福利及社會關懷相關之研究。",入會費、常年費及社會大眾不定額自由捐款,雲林縣政府中華民國93年12月03日府社行字第0930607164號函,永久,86954.00,1,0990330,,,,,,,,,,,,,法人圖記變更。,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/n2rNmTmjKQsjjmnaNIP5dqH1KzgzNfeuJAPfmBQHZ16o4YzHbR3IaMaF7NQ=
099法登他000006,1,2,陳曉青,9,0990206,0990517,0990518,2冊2頁,2,14,鍾安住,財團法人臺灣省雲林縣私立文生高級中學,0560715,雲林縣四湖鄉四湖村中正路509號,辦理教育事業、培養健全國民,建校土地由四湖鄉公所永久無條件贈與使用建校基金則由天主教中國遣使會及創辦人周志毅募集,54年6月11日臺灣省教育廳教二字37692號函,永久,149033581.00,1,0990517,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/usG3sb5PFtXwcs8zkzJGS-ttDdbI9EUyo8NPDNxUiOdRbZS_yAYE9thD
099法登他000007,1,2,陳曉青,104,0990209,0990223,0990224,4冊37頁,2,4,吳富美,財團法人雲林縣雲萱婦幼文教基金會,0870404,雲林縣斗六市武陵街51號,本會以教育婦幼幫助婦幼成長，維護其人格尊嚴保障其人身安全，促進兩性地位之實質平等，推展親職教育建構家庭組織功能與重整倫理秩序，倡導美滿家庭與自信人生為目的。,民間捐款、政府機關團體之補助或贊助、委託受益、基金孳息、政府公債,雲林縣政府87年03月10日87府教社字第8704000829號,永久,4500000.00,1,0990223,,,王招萍,雲林縣虎尾鎮安溪里5鄰104之2號,632,,,,,,,,變更組織章程第8條、第11條、第14條,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/fQG2k8kxdXWUlohsPuAx7qdSj8tu1Ab_T-mFh1h7td2FwJivZG5GUgLwF5Q=
099法登他000008,1,2,陳曉青,124,0990226,0990305,0990306,5冊14頁,1,4,程滄亮,財團法人雲林縣揚子高級中學教育基金會,0890613,雲林縣虎尾鎮穎川里林森路二段541號,本會以協助揚子高級中學，從事文教工作，頒發奬（助）學金、推展藝文活動，奬助教師研究進修、改善教學環境，發展校務為目的。,由揚子高級中學校友、家長及熱心教育人士捐助。,雲林縣政府中華民國八十九年五月一日八九府教社字第8904001867號,永久,5000000.00,1,0990303,,,林淑訓,雲林縣虎尾鎮林森路2段541號,632,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/yvOHr7wkMh9Jw20JgtZZCipOLNiwnB-GXssEEZTgvJ14Ma6O9HNAHdm7Mxg=
099法登他000009,1,2,陳曉青,234,0990310,0990312,0990315,7冊21頁,2,,李宗興,財團法人慶興社會福利基金會,0950825,雲林縣斗南鎮西伯里81之50號,以辦理社會福利慈善事業為宗旨,由李宗興、陳進忠、莊顯登、鐘瑞慶、賴美滿等人捐助,雲林縣政府中華民國95年08月23日府社行字第0950605781號,永久,10000000.00,1,0990311,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Z6QPb9By6sSBMWO0xyMc12nAYgq8d6dEkAk7FIqnzwlRg7JhZPLsg62uHvI=
099法登他000010,2,2,陳曉青,238,0990315,0990623,0990624,7冊25頁,2,2,陳宣宇,社團法人雲林縣照顧服務發展協會,0951121,雲林縣北港鎮華勝里仁愛路142號,配合政府社會福利政策，結合社會資源，推動社區人才培力，社區總體營造。,入會費、常年會費、會員捐款、委託收益、基金及其孳息、其他收入。,雲林縣政府中華民國95年11月17日府社行字第0950607876號函,永久,24000.00,1,0990623,,,紀家惠,雲林縣北港鎮華勝里仁愛路142號,651,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/z4BfD2VbLSZHQPzYvPfH6hI0AX8ZsrREY2UQ_tC1rAvFgVC9PhXZ6Lwi8Gw=
