登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因,網站連結
073法登000001,1,1,唐志明,55,0730112,0730116,0730117,2冊13頁,,0,萬定一,財團法人屏東縣私立公益慈善服務基金會,0730116,屏東市信義路一四一號,恊助政府推行社會福利政策，辦理急難貧困濟助家境清寒優秀學生等事業為目的。,由贊助本會宗旨之熱心人士樂捐之。,屏東縣政府七十二年十二月二日。,永久,5000000.00,1,0730117,0931014,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/HqXMUQcia72iwrhZ6zLzd_QuNYzYqnZrK7NlP0hADJGqmGJCNUoKpw==
073法登000004,1,2,周鴻禹,17,0730229,0730229,0730302,1冊1頁,2,6,董事長,財團法人私立永達工業專科學校,0560725,屏東縣麟洛鄉麟蹄村五鄰中山路三一六號,為供應私立永達工業專科學校所需之一切設備及經費。,由創辦人車轟等捐助,中華民國五十六年六月十日，教育部，台(五六)高字第九八四一號,永久,65253194.00,1,0730229,0931014,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/NaLCy2du479Cey1TA3O079bRfuhdzx4WL92p3uZB_lW6iB-SqLlJhQ==
073法登000006,1,2,,9,0730313,0730313,0730316,1冊10頁,1,0,董事長,財團法人台灣省屏東縣私立民生高級工商職業學校,0530218,屏東市瑞光里民生東路十二號,協助政府發展職業教育,由屏東市第一信用合作社捐助,五十一年一月二十九日台灣省政府教育廳,無限期,10132636.00,1,0830601,0731012,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/87M3XVLbcODvr6y0vwCCv58X98RH3odXh1XtW92Wg34A97aQTuj_
073法登000010,1,2,周鴻禹,22,0730427,0730427,0730430,1冊6頁,1,5,鍾炳堂,財團法人台灣省屏東縣私立志成高級商工職業學校,0580501,屏東縣潮州鎮彭城里彭城路三一五號,創立私立志成商業職業學校並謀其發展,由吳騰耀捐贈,中華民國五十六年六月一日,永久,16169592.00,1,0730427,0931014,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/50KmJNU0puv7mIMNsCYiWjiTWGyXbeePMi83W9PuY_FZ1Phwet69Vw==
073法登000014,1,1,唐志明,56,0730701,0730705,0730707,2冊14頁,,0,林雲騰,財團法人台灣省屏東縣東港東隆宮,0730705,屏東縣東港鎮東隆街廿一號之一,奉祀溫府王爺為主神、闡揚我國傳統正道及興辦公益慈善事業，策進國泰民安，樂利民生為宗旨。,以原東隆宮所有財產及其孳息捐助之,台灣省屏東縣政府，中華民國六十六年一月十一日，屏府民行字第一０九五０七號,永久,44672075.00,1,0730705,0931014,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/f7kE02swPBep5drEcVUph07UixsO53vikA7DNDnw8z2ZsvvxUciAiQ==
073法登000015,1,2,唐志明,13,0730831,0730831,0730903,2冊15頁,2,3,黃道宜,財團法人台灣省屏東縣私立慈惠高級護理助產職業學校,0540809,屏東市中正路三０二號,創立私立慈惠護理助產職業學校，協助政府發展護理教育。,由創辦人黃道宜、李順天、蔡李鴦及部份董事捐贈。,台灣省屏東縣政府，中華民國五十三年九月卅日，屏府教中字第五七五三二號。,永久,25518907.00,1,0730902,0731218,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/CnaH6mfkhQEcUz7p2zFsEH9RzyVsSelNboGUbObLEUQJgwJm9cLLkA==
073法登000016,1,2,唐志明,55,0730709,0730716,0730116,2冊13頁,,1,顏文一,財團法人屏東縣私立公益慈善服務基金會,0730116,屏東市信義路一四一號,恊助政府推行社會福利政策，辦理急難貧困濟助家境清寒優秀學生等事業為目的。,由贊助本會宗旨之熱心人士樂捐之。,屏東縣政府七十二年十二月二日。,永久,5000000.00,1,0730716,0931014,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/mXDOnOPibW24ta4bWZYk5ef7AvWxSnsV3m-fqqDK0pncASGG5c1v4w==
073法登000021,1,2,周鴻禹,29,0731115,0731115,0731118,1冊13頁,2,3,朱庭南,財團法人台灣省屏東縣屏東中華路基督教會,0600421,屏東市中華路一六三號,傳揚耶蘇救世大恩，造福人群。,由信徒捐助。,台灣省屏東縣政府，中華民國六十年三月廿二日，,永久,1920000.00,1,0731118,0731218,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/b486leH5mKUF2TcykbawtA8yM5ZGnaI-JfSulMzSY-RvxpiW89a6rg==
073法登000023,1,2,周鴻禹,24,0731121,0731121,0731124,1冊8頁,2,4,鄭天祥,財團法人屏東縣私立新基高級中學,0580707,屏東縣東港鎮新基街一二八號,遵照教育宗旨創辦家職協助政府發展地方教育為目的,由鄭天祥捐助,台灣省政府教育廳，中華民國五十二年八月十九日,永久,33890919.00,1,0731121,0731228,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/tTodk1kYmvIsg567uyzMFdf7tP-mMWFQckf5TK9SP1arbOxrfMk1Zg==
073法登000027,1,2,周鴻禹,22,0731210,0731210,0731203,1冊6頁,1,5,吳騰耀,財團法人台灣省屏東縣私立志成高級商工職業學校,0580501,屏東縣潮州鎮彭城里彭城路三一五號,創立私立志成商業職業學校並謀其發展,由吳騰耀捐贈,中華民國五十六年六月一日,永久,17888392.00,1,0731210,0931014,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Xw3659j9KnAo_gOhztOcmrZsKqRKEvn_eRaQhEZXzE26Ko5W2UGxDw==
