登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因,網站連結
073法登000001,1,2,王增瑜,14,0730113,0730131,0730131,1冊27頁,2,3,莊國龍,財團法人台灣省彰化縣私立達德高級商工職業學校,0620709,彰化縣田中鎮碧峰里一鄰中南路二段二七七號,發展教育，培養工商業專門人才，以配合國家經濟建設。,財團法人台灣省彰化縣私立達德高級商工職業學校董事會捐助。,中華民國六十二年六月十九日台灣省政府教育廳六十二、六、十九教三40822號,無限期,28967206.00,1,0841221,0921209,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/aX78j5Lr3XhAIXh838I15CDUW4UfMt8bkqV-baPsl-ok9GnVEIDWEw==
073法登000003,1,2,莊金昌,10,0730214,0730229,0730229,1冊19頁,1,5,陳碧玉,財團法人台灣省彰化縣私立正德高級工商職業學校,0610516,彰化縣彰化市莿桐里彰水路一四五號,為創辦私立正德高級工商職業學校並謀其發展為目的。,董事會捐贈、學雜費收入。,六十一年五月一日台灣省政府教育廳,永久設立,51028103.00,1,0730229,0921208,,陳碧玉,彰化縣彰化市莿桐里彰水路一四五號,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Jf-zj5fo9mYa9KaNv7brllHkS2hmIGWQEYmbghgvQg5p50ieayXLlQ==
073法登000004,1,1,莊金昌,31,0730222,0730416,0730416,2冊37頁,,0,黃金木,財團法人鹿港黃氏江夏堂大宗祠,0730416,彰化縣鹿港鎮洛津里民權路三七號,為祭祀祖先、慎終追遠發揮敦親睦族棈神及興辦公益慈善事業。,捐助人自由樂捐。,彰化縣政府七十三年二月十七日彰府民文字第七一九一七號,無限期,8330600.00,1,0730416,0921208,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/MK6aX3AvAeCUf6gOHyXwqwkP9R4wT2vSq96OBpGe0jTNeEgA7yq4_A==
073法登000007,1,1,莊金昌,33,0730411,0730720,0730720,2冊41頁,,0,林森,財團法人彰化縣私立秀和慈善事業基金會,0730720,彰化市中山路一段五四二號,興辦社會福利慈善事業提高醫療服務品質。,由捐助人捐助共新台幣叁佰萬元，及按秀和慈善基金會之捐助辦法。,彰化縣政府七十三年四月二日彰府社福字第八三四六三號,不定期,3000000.00,1,0850127,0921208,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/77R2ZcrL21oGXXd_rtMGw4cn7nodEEusdrD_omRfXL0Wd1tBgbP8Gg==
073法登000010,1,2,莊金昌,15,0730501,0730605,0730605,2冊1頁,2,8,吳聯星,財團法人私立建國商業專科學校董事會,0630226,台灣省彰化縣彰化市介壽路六十六號,供應私立建國工業專科學校所需之一切設備及經費。,由創辦人馬繼先、張敏華二人共同捐贈,教育部五十四年九月十三日台六十四高字第一四二三三號,無限期,75406631.00,1,0710104,0921208,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ul8qVJ8ziEfCPD5hW-RScq1SuUg1nxDz7hT9PVGA-QLtgN3RciaDAw==
073法登000011,1,1,莊金昌,32,0730514,0730625,0730625,2冊39頁,,0,蕭木貴,財團法人社團法人彰化市八卦禪寺能仁慈善會,0730625,彰化市桃源里龍涎路一０一號,以興辦社福利慈善事業。,由本會會員贈或地方善信及公司團體捐献,彰化縣政付中華民國七十三年一月九日彰府社政字第七三００六號,不定期,147300.00,1,0730625,0921208,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/jRfako1PUE5tdb7j1Da1w-wrwthsrv4p5IkfXzx92OhlTO2yi21OLA==
073法登000016,1,1,王增瑜,34,0731222,0731222,0731222,2冊43頁,,0,張霈華,財團法人彰化縣私立張叒生慈善基金會,0731222,彰化縣彰化市中華路九十三號,㈠辦理兒童福利。㈡辦理殘障福利。㈢辦理老人福利。㈣辦理義診。㈤協助政府推行社會福利事業及社會慈善活動。㈥低收入學生奬學金。,由張叒生慈善事業補基金轉入及捐助。,彰化縣政民國七三年七月二十三日七三彰府社福字第一二一九一八號,永久,3700000.00,1,0840626,0921208,,甘永坤,彰化縣彰化市彰馬路六一巷三號,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/gJ1AyvPi-bzgJKuCr7Ic0Um7S-TpqNn5zQf7u0XGUDU_eCjiElromg==
073法登000021,1,2,莊金昌,11,0731023,0731120,0731120,1冊21頁,2,3,王澤亞,財團法人台灣省彰化縣私立曉陽高級商工職業學校,0620524,彰化縣員林鎮振興里山脚路七十一號,創設高級商工職業學校以培育國家人才。,董事會捐助、捐助財產詳六十二年度法登字第二號法人登記卷,中華民國六十二年五月四日,無限期存立,25912063.00,1,0731120,0921208,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Lvlnis2PKOp7MtOlXSX7zcVlZcjjArQ0L1SyWqSt3IM9GlHa5xlppQ==
073法登000025,1,2,莊金昌,10,0731212,0731229,0731229,1冊19頁,2,5,陳碧玉,財團法人台灣省彰化縣私立正德高級工商職業學校,0610516,彰化縣彰化市莿桐里莿桐莊二十六之五號,為創辦私立正德高級工商職業學校並謀其發展為目的。,"董事會捐贈,學雜費之收入,開辦費由創辦人陳碧玉,郭英珠捐土地13筆2.9164公頃,道路用地4筆計165.7",中華民國陸拾壹年伍月壹日。,無限期存立,91564756.00,1,0731229,0921208,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/cqd7xbS0VNHKctEFUTlaBDnfu19lzvF9bWT8IiebylVo_c6jgUYCRA==
073法登000026,1,2,莊金昌,8,0731214,0740111,0740111,1冊15頁,2,2,吳振鐸,財團法人台灣省彰化縣私立女子文興女子高級中學,0610110,彰化縣田中鎮中潭里員集路三段九十三號,創立學校、教育青年、培育人材。,"天主教教廷補助,聖徒捐献耶穌聖心修女會補助,學生學雜費收入等其計新台幣6347134元",中華民國60年11月15日,不定期,6347104.00,1,0740111,0921208,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/H2CFd8ngDEnNuGhJU-X8uIzzCF4KQToDxB9ysAQ2iTp3z5Uc9bTh
