登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
112法登他000001,1,2,陳錦鑾,124,1120103,1120103,1120103,4冊19頁,2,16,董事長,財團法人高雄市大港埔祖師廟,0650915,高雄市新興區中山橫路68號,協助政府推行政令，團結信徒宣揚教義，發展宗教事業，並擧辦慈善公益事業福利社會立謀健全發展。,捐助,高雄市政府65年3月31日高市府民行字25564號,永久,2999240.00,1,1120103,,,,一、董監事變更：第15屆董監事任期屆滿，改選第16屆董監事。二、董監事印鑑登記。,,,,
112法登他000002,2,2,陳錦鑾,1240,1120103,1120103,1120103,23冊37頁,2,3,理事長,社團法人高雄市大自在禪密學會,0991108,高雄市三民區陽明路169號6樓之6,本會強調正統佛教禪坐及藏密修法，以禪攝密，以密護禪，祈協助芸芸眾生世間及出世間法，建立人間淨土為宗旨。,會費及捐助,高雄市政府社會局99年10月27日高市芩局一字第0990050618號函,永久,10000.00,1,1120103,,,,一、章程變更：原章程第5條於111年9月11日經法人第3屆臨時會員大會決議修正，報經主管機關備查。二、理監事變更：第3屆理監事任期屆滿，改選第4屆理監事。三、理監事印鑑登記。,,,,
112法登他000003,1,2,陳錦鑾,30,1120104,1120104,1120104,2冊4頁,1,18,董事長,財團法人高雄市私立大榮高級中學,0510528,高雄市鼓山區大榮街1號,以協助高雄市私立大榮高級中學發展為目的。,李天生捐助,台灣省政府教育廳、中華民國49年3月8日,永久,719582927.00,1,1120104,,,,"一、財產總額變更：原財產總額為新台幣754,257,693元整，變更為新台幣719,582,927元整。二、董事及監察人變更：第18屆任期內董事吳寶珍辭任，改選王玉如繼任。第3屆監察人任期屆滿，改選第4屆監察人。三、新任董事及監察人印鑑登記。",,,,
112法登他000004,1,2,陳錦鑾,166,1120104,1120104,1120104,4冊60頁,1,11,董事長,財團法人陳中和翁慈善基金會,0760207,高雄市苓雅區苓東路14號,本會以舉辦捐助慈善公益及獎助事業為宗旨。,由陳啟川等捐助,高雄市政府社會局、民國76年1月5日,永久,753577513.00,1,1120104,,,,章程變更：原章程第10、12、20、23條於111年4月15日經法人第11屆第5次董事會會議修正通過、原章程第22、23條於111年11月11日經法人第11屆第6次董事會會議修正通過，報經主管機關備查。其中第10、12、20、22條並經本院111年度法字第15號民事裁定准予變更確定。,,,,
112法登他000005,1,2,陳錦鑾,239,1120104,1120104,1120104,5冊43頁,1,10,董事長,財團法人舍抄樓蘭社會福利基金會,0790905,高雄市前金區中正四路170號,本會以舉辦社會福利慈善事業、及宣揚孝道、增進親情為宗旨。,捐助,"高雄縣政府、中華民國79年8月7日 （目的事業主管機關於84年3月15日改隸為內政部）",永久,171367340.00,1,1120104,,,,一、監察人變更：第10屆任期內監察人歐首龍辭世，由林世英繼任。二、新任監察人印鑑登記。,,,,
112法登他000006,1,2,陳錦鑾,119,1120104,1120104,1120104,4冊14頁,1,9,董事長,財團法人高雄市私立中華高級藝術職業學校,0641126,高雄市鼓山區美術館路89號,創辦高雄市私立中華高級藝術職業學校並謀其發展為目的。,創辦人呂福成捐助,臺灣省政府教育廳、民國64年5月14日。,永久,902447930.00,1,1120104,,,,"一、財產總額變更：原財產總額為新台幣902,447,930元整，變更為新台幣901,779,771元整。二、第3屆監察人任期屆滿，監察人戴嘉南連任第4屆，印鑑不予變更。",,,,
112法登他000007,1,2,陳錦鑾,1063,1120104,1120104,1120104,18冊163頁,1,3,董事長,財團法人基督教聖召會建國教會,0970702,高雄市苓雅區義勇路131號,本法人本於聖經教訓及博愛的精神以傳揚基督教義並建立教會為宗旨。,由黃永松捐助,高雄市政府民政局97年6月5日高市民政三字第0970007301號函,永久,14807153.00,1,1120104,,,,一、董事變更：第3屆任期內黃金成辭任董事暨董事長，陳勂升、陳榮朝辭任董事，黃永松董事辭世，由黃承恩、林郡隆、李宜宏、林文珍繼任董事，並選任黃承恩為董事長。二、新任董事印鑑登記。三、原董事楊瑛印鑑遺失，變更印鑑。,,,,
112法登他000008,2,3,陳錦鑾,1295,1120105,1120105,1120105,25冊12頁,2,2,理事長,社團法人高雄市照顧服務推廣協會,1000624,高雄市三民區遼寧二街13號,本會以建構照顧服務者與被照顧服務者及其家屬間最好的服務平台為宗旨。,會費及捐助,高雄市政府社會局99年12月3日高市社局一字第0990056348號函,永久,5000.00,1,1120105,,,方進恭,"一、解散原因：社團法人高雄市照顧服務推廣協會因眾多理監事及會員業務繁忙，無法配合本會相關事項，於111年11月16日經法人第3屆第1次臨時會員大會會議決議解散並選任清算人。二、依據：高雄市政府社會局111年12月6日高市社人團字第11139285500號函准予解散，及本院民事庭民事庭111年12月23日雄院國民司丁111司司153字第1111000765號函准予呈報清算人就任。    
    三、清算人姓名及住址：方進恭  住：    四、清算人印鑑。
    五、解散後財產之歸屬：解散時所剩餘財產，依法人章程第36條規定：「本會解散後，剩餘財產歸屬所在地之地方自治團體或主管機關指定之機關團體所有」。",,,,
112法登他000009,1,2,陳錦鑾,383,1120106,1120106,1120106,7冊183頁,1,9,董事長,財團法人劉快治文教基金會,0831125,高雄市前鎮區民權二路8號25樓,以人才培訓及促進提升台灣文化生活、教育水準、社會公益活動。,捐助,教育部、中華民國83年11月11日台八三社061011號,永久,51017759.00,1,1120106,,,,一、董事變更：第9任期內董事林慶祥辭世，改選林王貞秀繼任。二、新任董事印鑑登記。,,,,
112法登他000010,1,2,陳錦鑾,1755,1120106,1120106,1120106,36冊34頁,1,2,董事長,財團法人基督教大寮活泉靈糧堂,1060203,高雄市大寮區內厝路122號,為本聖經教訓往普天下傳揚基督教教義並建立教會。依據相關法令辦理下列目的事業:從事傳道宣教。出版及辦理社會公益慈善、教育事業。,捐贈,高雄市政府民政局106年1月24日高市民政宗字第10630204700號函,永久,5100000.00,1,1120106,,,,一、章程變更：原章程第16條於110年12月12日經法人第2屆第4次董事會會議修正通過，並經本院111年度法字第23號民事裁定確定，報經主管機關備查。二、董事變更：第2屆任期內董事鍾文明辭任董事暨董事長職務，改選陳信忠繼任董事暨董事長職務。三、董事高美蘭住所變更。四、新任董事印鑑登記。,,,,
112法登他000011,1,2,陳錦鑾,87,1120106,1120106,1120106,3冊31頁,2,15,董事長,財團法人東南文化基金會,0601215,高雄市前金區五福三路21號10樓之1,以從事公益活動及提倡終身教育為宗旨。,捐助,臺灣省政府教育廳、民國60年12月3日,永久,638675992.00,1,1120106,,,,一、董事變更：第14屆董事任期屆滿，改選第15屆董事。二、董事印鑑登記。,,,,
112法登他000012,1,2,陳錦鑾,157,1120106,1120106,1120106,4冊51頁,1,13,董事長,財團法人高雄企銀文教公益基金會,0741106,高雄市前鎮區民權二路8號25樓,促進高雄、屏東及澎湖地區文化生活水準之提高，擬經由文化、教育、公益等工作或事業之舉辦及獎助、致力此一宗旨之達成。,由高雄區中小企業銀行股份有限公司捐助,教育部、民國74年11月1日,永久,10000000.00,1,1120106,,,,一、董事變更：第13屆任期董事林慶祥辭世，改選林王貞秀繼任。二、新任董事印鑑登記。,,,,
