登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因,網站連結
084法登000001,2,1,1黃小瑩,39,0840309,0840523,0840527,2冊19頁,,0,莊根添,社團法人金門縣西浦頭光前廟慈善會,0840523,金門縣金寧鄉西浦頭四十二號,本會以宣揚佛教、道教教義、村政社務、宮廟整修、慶典作醮、並管理運用本會財產、舉辦公益事業、增進社會福祉為目的,由光前廟及其管理委員會或善男信女添緣捐助,金門縣政府八十三年七月二十三日縣民字第一八一三０號函,永久,1500000.00,1,0840615,0840615,0840615,莊根添,金門縣金寧鄉西浦頭四十九號,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ml75jVETp88mQa1YPk9nzBeko6QBEDnWyFQAwZFYGGwX2OuzvKdvBA==
084法登000002,1,2,黃小瑩,5,0840316,0840524,0840526,1冊9頁,2,2,陳辛酉,財團法人福建更生保護會,0781110,金門縣金寧鄉仁愛新村五號,保護出獄人，使其自立更生，適於社會生活，預防再犯，以維社會安寧為目的,林德甫、張邦育、蔡光林、楊水應捐助及法務部補助,法務部八十三年十月十日法八十三保字第二二五四０號,無限期,3100000.00,1,0840615,0840615,0840615,陳辛酉,金門縣金城鎮西門里珠浦北路三十三號,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Uf95y4Oo46WQoO14a7ySzyFbQqUmdezng6qgmGIWNCs6ZHM3jOAD
084法登000004,2,1,黃小瑩,37,0840408,0840425,0840427,2冊15頁,,0,陳育雨,社團法人金門縣金湖鎮湖前陳氏宗親會,0840425,金門縣金湖鎮湖前陳氏宗祠,本會以倡導敦親睦族、互助合作、促進宗族團結、增進宗親福利、砥礪忠孝節義為宗旨,由湖前宗親及熱心人士捐助,金門縣政府中華氏國八十四年三月九日府氏字第０六五五０號,永久存在,2450000.00,1,0840512,0840512,0840512,陳天有,金門縣金湖鎮武德新莊一０二號,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/5eGd4eJ-F0goZjIRHYx_3TFY2eNgCRtHE33cjTbniQKdrGbBUfjPLg==
084法登000006,2,2,黃小瑩,6,0840801,0830829,0830830,1冊11頁,2,6,理事長,社團法人福建省金門縣農會,0790517,金門縣金城鎮民生路六號,"保障農民權益，提高農民知識技能，促進農業現代化，增加生產收益        ，改善農民生活，發展農村經濟",事業基金，法定公積金，盈餘提撥,八十一年三月二十三日金門縣政府,永久,180856362.00,1,0840814,0840817,0840817,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Djs3kZRKBgkuHYBlkGoLnIC-JCxB6jifBkUKISo7Q4CyhPQSMU5E
084法登社000007,2,1,黃小瑩,2,0840814,0840901,0840902,2冊21頁,,0,陳金在,社團法人金門縣金湖鎮夏興村陳氏宗親會,0770323,金門縣金湖鎮夏興村(夏興陳氏宗祠),發揚固有宗族關係與倫理精神，提倡敦親睦族，互助互愛，患難相扶，促進家族團結，增進宗親福利，培養民族意識與國家觀念。,會員入會費.夏興陳氏宗親及熱心人士捐助,金門縣政府..６.⒈.縣民字第一一一九二號,永久設立,140966.00,1,0840901,0840901,,陳為論,金門縣金湖鎮正義村夏興三二之一號,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/z4vwXuRYJNkn7cIEDQkV8HPdkSmW-OuvhGXLMSHTSWzNLLiOsPWqoEzF
084法登社000008,2,1,黃小瑩,3,0840901,0841116,0841118,2冊25頁,,0,林棉,社團法人金門縣烈嶼鄉東林林氏宗親會,0841116,金門縣烈嶼鄉東林八十號,聯絡宗親情誼、管理祖遺財產、辦理宗親急難救助及社會公益事業為目的。,會員、宗親捐獻，宗祠公共造產收入,金門縣政府⒌府民字第一三六八七號,永久設立,430100.00,1,0841116,0841116,,林福德,金門縣烈嶼鄉林湖村東林街號,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ZTgz_BpFiSs6UfULm7B_pfFiLFPx5MD0KLosxr5SPKi9yiKsf92BQNQl
084法登社000011,2,1,林勤綱,4,0841114,0841127,0841228,2冊27頁,,0,辛怡鴻,社團法人金門縣辛氏宗親會,0781027,金門縣金城鎮金門城西門外辛氏家廟內,敦親睦族、患難互助、連繫宗族、維護倫理及協助政府推行政令，改良民俗、獎掖子弟升學、培植才俊。,會員會費、捐款、政府補助、報丁費。,金門縣政府、⒐⒈府民字第二一八六六號。,永久,290000.00,1,0841227,0841227,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/OFfZRoBk5UwiyD8yWfxmasJqvjXbm5g2sNr6vRDrYR2a1OKQAPkG7J3L
084法登社000012,2,,林勤綱,6,0841204,0850119,0850122,2冊31頁,,0,蕭子華,社團法人金門縣金沙國小學生家長會,0790517,金門縣金沙鎮后浦頭一一七號(金沙國小學生活動中心),增進學生福祉，加強學生學習成效，支援教學活動，促進學校整体發展，發揮組織功能，並推展公益事業為宗旨。,基金孳息收益、不動產租金收益撥充。,金門縣政府、⒒⒈縣民字第二八一二二號。,永久設立。,1578700.00,1,0850119,0850712,0850712,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Q6jMgfAWhTY78CCLuY0e2NL-2y4fBU4IN3iBrR_WOGJw3ckWbJLQMnLA
084法登社000013,2,1,林勤綱,5,0841221,0850118,0850122,2冊29頁,,0,許天順,社團法人金門縣金寧鄉安美村許氏宗親會,0781110,金門縣金寧鄉安美村許氏家廟(安岐六十之五號),"倡導敦親睦族、互助合作、增進宗親福利、發揚固有倫理道德;以敦風勵俗、 激發民族精神、培養愛鄉愛國情操、砥礪忠孝節氣。",入會費、年費、宗親捐助。,福建省金門縣政府、八十四年六月廿七日府民字第一六三九八號,永久存立,206675.00,1,0850118,0850516,0850516,許天順,金門縣金城鎮民權路八八巷二弄一號,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Xg4LALDvnYluo4WPwqcniAPBMLzwXN4e2cZtWj6Dyc6Iq5X-nkl4Ab5d
084法登財000009,1,1,黃小瑩,11,0841011,0841017,0841019,1冊21頁,,0,許金龍,財團法人中華民國福建省金門縣愛心慈善事業基金會,0841017,金門縣金城鎮民族路二一七號,發揚愛心、鼓勵善行、聚合眾智群力、廣集社會資源、協助政府推行社會福利政策、辦理急難救助、社會公益服務等事業。,由膺選全國好人好事代表、鄉僑及社會熱心公益慈善團体(個人)捐助。,金門縣政府、中華民國八十年七月九日(80)縣民字第七七一九號。,無限期。,596105.00,1,0841017,0841026,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Vp0eudzLcx5LyKISWoNRWnGmXmNamyf9M7Bx8UkalN6swzswg7jsj8fE-w==
