登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
091法登他000001,1,2,謝怜聰,380,0910102,0910102,0910103,13冊4頁,2,2,陳明河,財團法人竹塹文教基金會,0871105,新竹市經國路一段三七九巷二十一號,關懷鄉土文化教育，促進人文發展為宗旨,由林秉暉先生等人捐助,新竹市政府八十七年十月九日府教社字第七四七一七號,永久,2000000.00,1,0910102,0910107,0910107,,,,,,,,,,,,,,,
091法登他000002,1,2,謝怜聰,326,0910102,0910102,0910103,11冊50頁,2,3,史欽泰,財團法人潘文淵文教基金會,0850401,新竹縣竹東鎮中興路四段一九五號,贊助高科技研發及科技人才之培訓，獎勵科技傑出華裔人士並提升我國半導體等科技水準，促進國家進步。,由台灣積體電路公司等三公司捐助,八十五年三月七日教育部,永久,40000000.00,1,0910102,0910107,0910107,,,,,,,,,,,"章程變更：捐助章程第一、第二、第三、第四、第五、第九、第十、
          第十一、第十二、第十三、第十四、第十五條等共十二條
             修訂",,,,
091法登他000003,1,2,謝怜聰,43,0910116,0910116,0910117,4冊13頁,2,7,劉獻堂,財團法人台灣省新竹市私立曙光女子高級中學,0491006,設：新竹市北大路六十一號,辦理私立曙光女子高級中學，並謀求其發展,由天主教聖神修女傳教會捐助,四十九年十月四日台灣省政府教育廳,"永    久",308878858.00,1,0910116,0910121,0910121,,,,,,,,,,,,,,,
091法登他000004,1,2,謝怜聰,273,0910116,0910116,0910117,10冊47頁,1,0,朱坤塗,財團法人坤泰文教基金會,0821124,新竹市西大路六三０號,本會以興辦並贊助教育文化公益等事業為宗旨,朱坤塗先生等捐助,八十二年十一月十七日教育部核准設立核准字號台82社字第零陸肆零陸柒號,永久,45132604.00,1,0910116,0910123,0910123,,,,,,,,,,,,,,,
091法登他000005,1,2,謝怜聰,54,0910116,0910116,0910117,4冊47頁,1,10,劉獻堂,財團法人台灣省新竹縣私立上智國民小學,0500826,新竹縣竹東鎮東寧路三段二０五號,配合政府教育政謀其健全發展為國培育有用人才,由財團法人天主教耶穌孝女會捐助。,五十年八月二十五日新竹縣政府,"永 久",231016781.00,1,0910116,0910121,0910121,,,,,,,,,,,"章程變更：捐助章程第八條修訂為：本財團法人解散清算後，所剩財產可
　　　　　歸屬財團法人天主教耶穌孝女會作為辦理教育事業之用。",,,,
091法登他000006,1,2,謝怜聰,206,0910116,0910116,0910117,9冊33頁,1,3,汪炳榮,財團法人天恩彌勒佛院,0780211,新竹縣峨眉鄉湖光村八鄰十四寮一號,本法人係慈愛之精神在本省內以及世界各國傳揚佛教及辦理社會公益慈善事業,信徒捐助,七十八年一月二十五日新竹市政府,永久,96670500.00,1,0910116,0921224,,,,,,,,,,,,,,,,
091法登他000007,1,2,謝怜聰,242,0910121,0910121,0910122,10冊16頁,2,3,翁清龍,財團法人新竹後備軍人（子女）獎學金董事委員會,0811111,新竹縣關西鎮正義路五十一號,獎助努力向學之優秀而家境清寒之後備軍人（含子女）為宗旨,地方熱心人士、民間廠商、全體輔導幹部及後備軍人捐助,八十一年八月二十五日新竹縣政府,永久,5140000.00,1,0910121,0910124,0910124,,,,,,,,,,,"章程變更：捐助章程第三、六、七、十一、十二、十三、十四、十五
、十六、十八、二十條修訂。",,,,
091法登他000008,1,2,謝怜聰,229,0910123,0910123,0910124,10冊3頁,2,4,"林  松",財團法人新竹市立朝山國民小學教育發展基金會,0810430,新竹市中華路五段六四八巷一二六號,協助政府推展教育建設。舉辦全校性校內外之各項教育活動。,地方熱心教育人士及校友自由捐助。,八十一年二月十六日新竹市政府,永久,2136770.00,1,0910123,0910129,0910129,,,,,,,,,,,,,,,
091法登他000009,1,2,謝怜聰,346,0910130,0910130,0910131,12冊20頁,1,4,"了  中",財團法人玄奘人文社會學院,0851223,新竹市香山區玄奘路四八號,為遵照國家教育政策暨現行教育法規之規定，辦理玄奘人文社會學院，並謀求其建全發展,捐助,教育部中華民國八十三年十二月二十四日台高069877號,永久,1319036117.00,1,0910130,0910205,0910205,,,,,,,,,,,,,,,
091法登他000010,1,2,謝怜聰,133,0910208,0910208,0910215,7冊41頁,1,10,許淑貞,財團法人台灣省新竹縣私立仰德高級工業商業職業學校,0611213,新竹縣新豐鄉員山村一三三號,遵照國家教育政策暨現行教育法令之規定辦理高級工業商業職業學校並謀其健全發展,捐助,台灣省教育廳六十一年十一月十六日教三字第八三二五三號,"永 久",187939339.00,1,0910208,0921224,,,,,,,,,,,,章程變更:捐助章程第八條修訂,,,,
091法登他000011,1,2,謝怜聰,244,0910225,0910225,0910226,10冊18頁,2,2,劉秀美,財團法人新竹市龍山國民小學發展教育基金會,0811125,新竹市光復路一段五七四號,協助政府教育建設舉辦全校性校內外之各項教育活動。,校友、地方人士自由捐助及政府經費補助。,八十一年十月十二日新竹市政府,永久,2000000.00,1,0910225,0921224,,,,,,,,,,,,"章程變更:捐助章程第四、第九、第十、第十四、第十五、第十八條
            修訂。",,,,
091法登他000012,1,2,謝怜聰,82,0910306,0910306,0910307,6冊22頁,1,11,王廣生,財團法人私立明新技術學院,0550104,新竹縣新豐鄉新興路一號,創辦私立明新技術學院並謀其發展,本財團之基金新台幣五百萬元由王宗山、李鴻超、郝立緒等捐助,五十五年三月四日教育部55高字二九八二核准學校立案,永久,2386572236.00,1,0910306,0910311,0910311,,,,,,,,,,,,,,,
091法登他000013,1,2,謝怜聰,93,0910308,0910308,0910311,7冊1頁,1,12,劉獻堂,財團法人台灣省新竹市私立磐石高級中學,0561021,新竹市西大路六八三號,創辦私立磐石高級中學並謀其發展,董事會捐助,五十三年八月一日新竹縣政府,"永   久",535360410.00,1,0910308,0910312,0910312,,,,,,,,,,,,,,,
091法登他000014,1,2,謝怜聰,337,0910308,0910308,0910311,12冊11頁,2,2,謝素真,財團法人昌益文教基金會,0850903,新竹市和平路一四二號一樓,以舉辦教育、文化、公益性事業及活動為宗旨,由昌益建設股份有限公司等捐助,新竹市政府(八五)府教社字第五九三八０號八十五年八月廿一日,永久,19757680.00,1,0910308,0910315,0910315,,,,,,,,,,,,,,,
091法登他000015,1,2,謝怜聰,252,0910312,0910312,0910313,10冊26頁,2,9,李燈祥,財團法人新竹市立東門國民小學教育發展基金會,0820325,新竹市民族路三十三號,一、協助政府教育建設二、辦理全校性校內外之各項教育活動,校友、家長委員、地方人士自由捐助,八十二年一月十八日新竹市政府,永久,3700000.00,1,0910312,0910315,0910315,,,,,,,,,,,章程變更：捐助章程第三、四、十八、二十一、二十三條修正,,,,
091法登他000016,1,2,謝怜聰,84,0910314,0910314,0910315,5冊59頁,1,13,謝忠弼,財團法人食品工業發展研究所,0550321,新竹市食品路三三一號,一、研究及發展食品與生物等產業相關之科學與技術。二、提供食品與生物等相關產業技術服務，及投資其具創新或前瞻性之事業，帶動產業發展。三、培育及訓練食品與生物等相關產業之科技人才。四、策進及協助食品與生物等相關產業之國際交流與發展。,捐助,五十五年二月二十一日經濟部,"永  久",9500000.00,1,0910314,0910320,0910320,,,,,,,,,,,"章程變更：捐助章程第二、九、十、十五、二十條條文業經本院九十
             年度法字第五號裁定變更。",,,,
091法登他000017,1,2,謝怜聰,155,0910320,0910320,0910321,8冊13頁,2,9,楊士慶,財團法人台灣基督長老教會新竹教會,0640320,新竹市勝利路二四七號,本財團法人為圖謀基督教健全之發展，而幫助台灣基督長老教會新竹教會之傳道事工，及依宗教信仰辦理附屬社會教育文化公益慈善福利事業，並致力管理本教會所屬資產。,由本財團法人台灣基督長老會新竹教會信徒捐贈,六十四年三月十二日新竹縣政府,"永  久",3102287.00,1,0910320,0910322,0910322,,,,,,,,,,,,,,,
