登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
079法登000001,1,1,賴清文,225,0790103,0790119,0790119,5冊29頁,1,2,董事長,財團法人高雄縣嘉新水泥股份有限公司職工福利委員會,0790119,高雄縣岡山鎮嘉新東路一號,職工福利事業之推進督導及社會清寒學生獎助學金。,捐助,高雄縣政府七十八年十二月二十三日,捐助,2919574.00,1,0790119,0811231,,,,,,,,,,,,,,,,
079法登000005,1,1,賴清文,224,0790108,0790110,0790110,5冊28頁,1,2,董事長,財團法人崇義文化教育基金會,0790110,高雄市鼓山區龍德路一一三號,發揚中華文化倫理及奬助在學敦品勵志為宗旨。,捐助,高雄市政府教育局七十八年十二月二十二日,永久,1500000.00,1,0790110,0850420,0850420,,,,,,,,,,,,,,,
079法登000006,1,2,賴清文,59,0790113,0790215,0790215,3冊3頁,2,0,蔡基成,財團法人私立樂育中學,0560923,高雄縣大寮鄉後庄村1號,扶助發展高雄縣私立樂育初級中學之經濟而設立。,捐助,中華民國五十六年五月五日,永久,35697963.00,1,0790215,0790330,,,,,,,,,,,,,,,,
079法登000009,1,1,賴清文,226,0790201,0790208,0790208,5冊30頁,1,0,董事長,財團法人文殊文教基金會,0790208,高雄市前鎮區嘉陵路六號,配合政府社會福利政策，推展社會教育，促進文化建社，導正社會風氣，發揚優良傳統文化。,捐助,七十九年一月八日高雄市政府教育局,永久,36428378.00,1,0790208,0790512,,,,,,,,,,,,,,,,
079法登000010,1,2,賴清文,87,0790201,0790201,0790201,3冊31頁,1,0,董事長,財團法人東南文化基金會,0601215,高雄市鹽埕區塩埕街十三號,一、奬勵家境清寒、優秀青少年完成學業。二、奬勵體育運動提高心身健康。三、有關文化、教育事業等創辦事項。四、育樂活動中心建設事項。五、其他慈善救濟事項。六、辦理研究生貸學金，以培養特殊人才。七、奬勵及培訓資訊管理等相關專業人才，興建高雄世界貿易中心。八、委託或承辦世界中心協,由陳江章及其家屬及東南水泥股份有限公司捐助並得繼續接受贊助人之捐助。,中華民國六十年十二月三日,永久,263000000.00,1,0790201,0790228,,,,,,,,,,,,,,,,
079法登000011,2,1,吳永崑,228,0790224,0790224,0790224,5冊32頁,,0,理事長,社團法人高雄市航空科學模型協會,0790224,高雄市新興區中東街一二Ｏ號,從事航空及科學教育研究與推展、推行社會教育、社會福利、兒童福利等工作。,捐助及會費收入,六十八年七月二十四日高雄市政府社會局,永久,1985800.00,1,0790224,0811231,,,,,,,,,,,,,,,,
079法登000012,1,2,賴清文,53,0790216,0790216,0790216,2冊27頁,1,7,董事長,財團法人私立文藻外國語文專科學校,0550628,高雄市民族一路九OO號,為供應私立文藻外國語文專科學校所需之一切設備與經費,捐助,教育部五十五年三月四日教育部五五高字第二九九四號,永久,128070801.90,1,0790216,0790623,,,,,,,,,,,,,,,,
079法登000015,1,2,賴清文,197,0790221,0790221,0790221,5冊1頁,1,1,董事長,財團法人吳麥文教基金會,0780225,高雄市五福三路87號7樓之1,辦理文化教育事業、慈善事業、獎助清寒學子、社會公益、急難救助以服務社會、回饋社會為宗旨。,捐助,高雄市政府教育局中華民國七十八年一月二十日,永久,1000000.00,1,0790221,0790621,,,,,,,,,,,,,,,,
079法登000016,2,1,賴清文,227,0790221,0790221,0790221,5冊31頁,2,2,理事長,社團法人中國精神療養研究會高雄縣支會,0790221,高雄縣鳳山市光復路二段二一三巷十二弄一號,以研究精神療養理論及服務社會為宗旨。,會員會費及捐助,高雄縣政府六十三年十一月八日,永久,1070801.00,1,0790221,0790512,,,,,,,,,,,,,,,,
079法登000018,1,2,賴清文,88,0790305,0790305,0790305,3冊32頁,2,0,董事長,財團法人高雄縣私立基督教山地育幼院,0610214,高雄縣六龜鄉土壠村大苦苓一號,為秉承總統關懷婦幼福利之德意及發揚基督博愛精神收容山地三足歲至十二足歲以內兒童扶助扶養俾將來成為良好國民為宗旨。,捐助,"中華民國 五十九年一月十日",永久,230000.00,1,0790305,0971208,,,,,,,,,,,,,,,,
