登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
090法登他000001,1,2,謝怜聰,93,0900102,0900102,0900103,7冊1頁,1,12,劉獻堂,財團法人台灣省新竹市私立磐石高級中學,0561021,新竹市西大路六八三號,創辦私立磐石高級中學並謀其發展,董事會捐助,五十三年八月一日新竹縣政府,"永   久",427451406.00,1,0900102,0900105,0900105,,,,,,,,,,,,,,,
090法登他000002,1,2,謝怜聰,357,0900103,0900103,0900104,12冊31頁,1,2,葉德生,財團法人印順文教基金會,0860903,新竹縣竹北市縣政九路二十八巷七號,提倡佛教學術研究、宏揚固有文化、淨化社會人心、實踐慈悲精神為宗旨。,由印順及葉德生先生捐助成立。,教育部八十六年八月十一日台社四字第八六０九三０九三號函核可,永久,16000000.00,1,0900103,0900105,0900105,,,,,,,,,,,"章程變更：捐助章程第一、四、五、九、十、十一、十二、十三、十四條
　　　　　業經本院八十九年法字第一號裁定變更。另第六、七、十五條
          亦經主管機關核准變更。",,,,
090法登他000003,2,2,謝怜聰,338,0900103,0900103,0900104,12冊12頁,2,5,王富美,社團法人新竹市智障福利協進會,0850903,新竹市南大路三九一巷十二號,爭取智障者合法權益提供智障福利之研究發展建設成年智障者社區家園,捐助,新竹市政府民國八十五年四月二日八五府社行字第二二七七一號,永久,140000.00,1,0900103,0900105,0900105,,,,,,,,,,,,,,,
090法登他000004,1,2,謝怜聰,228,0900104,0900104,0900105,10冊2頁,2,4,董事長,財團法人鄭謝寶綵社會文教基金會,0810422,新竹市石坊街八號,設置青少年獎助學金、獎助優秀清寒學生。協助清寒特殊兒童成長之資助。其他有關社會教育及文化事業之捐助。,由鄭萬來發起創設暨鄭謝萬杰等九人捐助,八十年十二月十日新竹市政府,無限期,8000000.00,1,0900104,0900108,0900108,,,,,,,,,,,,,,,
090法登他000005,1,2,謝怜聰,185,0900109,0900109,0900110,9冊10頁,2,6,董事長,財團法人新竹市私立天主教仁愛啟智中心,0740508,新竹市水源街八十一號,舉辦智能不足兒童及青少年教育與職業訓練工作,由前董事長葉由根捐助,七十四年四月十八日新竹市政府八三府社福字第五一四四八號,無限期,3961800.00,1,0900109,0900112,0900112,,,,,,,,,,,,,,,
090法登他000006,1,2,謝怜聰,79,0900110,0900110,0900110,5冊49頁,2,10,巫士椀,財團法人台灣省中華基督教信義會,0541027,新竹市南大路四三０號,傳播基督教福音為基礎，引人歸主及興辦慈善公益，宏揚上帝博愛,由美國信義會（差會）與我國教會信徒捐獻。,五十四年九月二十一日新竹縣政府,"永    久",12667640.00,1,0900110,0900115,0900115,,,,,,,,,,,"一、章程變更：捐助章程第三、第五、第六、第七、第十二條業經本
院八十九年度法字第二號裁定變更。",,,,
090法登他000007,1,2,謝怜聰,43,0900116,0900116,0900117,4冊13頁,1,6,劉獻堂,財團法人台灣省新竹市私立曙光女子高級中學,0491006,設：新竹市北大路六十一號,辦理私立曙光女子高級中學，並謀求其發展,由天主教聖神修女傳教會捐助,四十九年十月四日台灣省政府教育廳,"永    久",307409608.00,1,0900116,0900120,0900120,,,,,,,,,,,,,,,
090法登他000008,1,2,謝怜聰,135,0900117,0900117,0900118,7冊43頁,1,9,陳茂基,財團法人台灣省新竹市私立世界高級工業家事職業學校,0620416,設台灣省新竹市光復路一段二五七號,"以創辦台灣省新竹市私立世界高級工業家事職業學校,並謀其發展。",捐助及補助,六十二年二月九日台灣省政府教育廳,"永  久",299665424.00,1,0900117,0921224,,,,,,,,,,,,,,,,
090法登他000009,1,2,謝怜聰,53,0900119,0900119,0900120,6冊19頁,1,6,劉獻堂,財團法人臺灣省新竹市私立曙光國民小學,0500826,新竹市北大路七十號,辦理私立曙光國民小學，並謀其發展。,由天主教聖神修女傳教會捐助,五十年八月二十五日臺灣省教育廳,"永  久",125567938.55,1,0900119,0900129,0900129,,,,,,,,,,,,,,,
090法登他000010,1,2,謝怜聰,195,0900119,0900119,0900120,9冊20頁,2,3,張義禮,財團法人新竹縣張昆和祭祀公業,0760806,新竹縣湖口鄉波羅村四鄰波汶廿四號,祭祀張昆和派下「金鑑堂」歷代祖先及敦睦宗誼，辦理社會公益慈善教育事業,由張錦範等人捐助,七十六年六月十七日新竹縣政府,永久,1807435.00,1,0900119,0900129,0900129,,,,,,,,,,,章程變更:捐助章程第一、六、十一條修訂,,,,
