登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
085法登他000001,1,2,王復生,68,0850209,0850215,0850216,2冊68頁,1,2,釋證嚴,財團法人私立慈濟護理專科學校,0780407,花蓮市德興街一四三之一００號,為遵照國家教育政策暨現行教育法令之規定，辦理慈濟護理專科學校，並謀其健全發展。,由財團法人佛教慈濟慈善事業基金會全額捐助。,教育部七十八年二月二十七日台０八六００號函核准設立,永久,462151993.00,1,0850214,0850214,0850214,陳瑤玲,花蓮市德安一街七三巷二八弄三號三樓,,,,,,,,,,,,,
085法登他000002,1,2,王復生,6,0850209,0850507,0850508,1冊6頁,2,42,蕭棋田,財團法人台灣基督長老教會玉山神學院,0540709,花蓮縣壽豐鄉池南村池南路一段二十八號,本院以傳揚基督教教義，並以基督教神學培養原住民傳教人材發展台灣基督長老教會，並辦理教會公益事業為目的。,由國內外基督長老教會信徒所捐獻。,花蓮縣政府民國五十四年四月,,18349050.00,1,0850507,0850510,0850510,,,,,,,,,,,,,,,
085法登他000003,1,2,王復生,7,0850305,0850505,0850508,1冊7頁,2,2,顧美玲,財團法人台灣省花蓮縣基督教宣教士差會,0471119,花蓮縣花蓮市民權八街一號,傳播基督教福音、教育貧困殘盲女子,由基督教宣教士差會總會授信,四十三年十月二十三日花蓮縣政府府萍民一字第五五四六六號,永久,116282538.00,1,0850504,0850507,0850507,,,,,,,,,,,,,,,
085法登他000004,1,2,王復生,10,0850415,0850511,0850514,1冊10頁,,9,湯國皎,財團法人台灣省花蓮縣私立四維高級中學,0511115,花蓮市國慶里德興三十八號,為創辦四維中學並謀其發展為目的。,董事會暨其他個人、團體等捐助,台灣省政府民國五十一年八月七日教二字第42523號,永久,192696501.00,1,0850511,0850515,0850515,,,,,,,,,,,,,,,
085法登他000005,1,2,王復生,66,0850510,0850619,0850621,2冊66頁,,3,王慶豐,財團法人花蓮縣文化基金會,0760328,花蓮市文復路六號,"促進文化建設，推展文化活動，提高國民文化生活水準，增進國民身        心健康為宗旨。",捐募　　　　　　　　　　　　　　　　　　　　　　　　　,七十六年二月二十八日花蓮縣政府七十六年府教社字第一五五五一號函,永久,91003656.00,1,0850619,0881019,0881019,黃涵穎,花蓮市國富十一街九號,,,,,,,,,,,,,
085法登他000006,1,2,王復生,90,0850510,0850523,0850526,2冊90頁,2,3,林文輝,財團法人花蓮縣私立慈惠愛心基金會,0800725,花蓮市美工路三十五號,以發揮仁愛精神，辦理社會公益事業為宗旨,林文輝等捐助,八十年七月十七日花蓮縣政府八十府民社字第七００一五號,永久,5500000.00,1,0850523,0850526,0850526,林淑瑛,花蓮市中美二街四十二號,,,,,,,,,,,,,
085法登他000007,1,2,王復生,25,0850604,0850617,0850618,1冊25頁,,7,黃玉輝,財團法人花蓮高爾夫俱樂部,0691022,花蓮市化道路球崙一號,提倡高爾夫運動及其他體育活動，並襄助本省觀光事業之發展與社會公益，以及經營示範農埸與園藝研究。,由基本會員共同捐助及經營花蓮高爾夫求場之盈餘充之。,花蓮縣政府民國六十九年九月十八日六九府教體字第六一三０二號准設立。,永久,1112579.00,1,0850617,0850618,0850618,,,,,,,,,,,,,,,
085法登他000008,1,2,湯文章,15,0850702,0850724,0850725,1冊15頁,1,8,吳旺枝,財團法人臺灣省花蓮縣私立中華高級工商職業學校,0620602,花蓮縣吉安鄉吉安村吉興四街一０一號,培養工商事業人才並謀其發展。,依照捐助章程所載,六十二年五月二十九日臺灣省政府教育廳六二教三字第０七六六九號,永久,53992930.00,1,0850724,0850725,0850725,吳慶豐,花蓮市國民一街三十二號,,,,,,,,,,,,,
085法登他000009,1,2,湯文章,75,0850802,0850806,0850807,2冊75頁,,0,梁逸郎,財團法人花蓮港台灣基督長老教會,0781123,花蓮市節約街三十號,為謀求維護基督教純正福音信仰，協助新城教會傳道事工及社會福利公益慈善教育事業之拓展。,由花蓮港台灣基督長老教會捐助,花蓮縣政府七十八年十月二十三日府民禮字第八九九四九號,永久,1200000.00,1,0850806,0850807,0850807,,,,,,,,,,,,,,,
085法登他000010,1,2,湯文章,92,0850823,0850831,0850902,2冊92頁,1,2,釋證嚴,財團法人私立慈濟醫學院,0810208,花蓮市新生南路十六號,為遵照國家教育政策及教育法規，辦理慈濟醫學院，並謀其健全發展。,由私立佛教慈濟慈善事業基金會全額捐贈之,七十九年七月四日教育部台(79)高三一五五六號函,永久,1597520627.00,1,0850831,0850902,0850902,黃淑燃,花蓮縣新城鄉康樂村二十一號,,,,,,,,,,,,,
085法登他000011,1,2,湯文章,22,0850903,0850907,0850909,1冊22頁,2,6,李傳芳,財團法人台灣省花蓮縣光復鄉保安寺,0671202,花蓮縣光復鄉大平村佛祖街三一四巷二號,奉祀釋迦佛祖為主神，並供奉諸神像以宏揚教義、敦睦信徒、增進信徒友誼、興辦社會福利公益慈善事業、樹立互助合作、團結精神及獎勵地方教育拔擢人才為宗旨。,信徒樂捐及拜斗收入補助財產收益。,花蓮縣政府府民行字第六六００四號民國六十七年九月十九日,永久,37531325.50,1,0850907,0850916,0850916,,,,,,,,,,,,,,,
