登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因,網站連結
067法登000017,1,1,謝怜聰,273,0670317,0670317,0630318,10冊2頁,,0,陳壬申,財團法人台灣省台中市應天宮蘇府王爺廟,0670317,台中市西區三中東巷八之三號,"崇奉三教聖神仙佛聖神。闡揚聖德,宣化教義,重整道德,辦慈善事業,促進社會福利。",樂捐,"台中市政府  中華民國陸拾柒年貳月壹日",永久,2242932.00,1,0670317,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/g3uTLFM3L1mYvldtpW8zW8WX6LpZPa3bNT90I9dckNVO3tx4E_cW4DM=
067法登000039,1,1,謝怜聰,282,0671027,0671030,0671030,10冊11頁,,0,王金爐,財團法人台灣省台中縣大甲鎮瀾宮,0671030,台中縣大甲鎮順天路一五八號,宣揚媽祖懿德，倡行尊聖孝道，興辦育樂活動中心、圖書館、貧民救濟、各種體育運動等社會公益事業。,由原大甲鎮瀾宮捐助。,台中縣政府　　　六十七年七月十四日,永　　　久,291634678.00,1,0671030,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/npPsehv6QXut-ywxNG4CE3xcwQplLOtPtDZdz7ojf0S5YKuu0M0TJn4=
067法登000043,1,1,謝怜聰,280,0671012,0671012,0671012,10冊9頁,,0,董事長,財團法人私立靜宜女子大學,0671012,台中縣沙鹿鎮中棲路二００號,設立大學並謀其健全發展。,天主教美國主顧修女會捐助,四十六年四月一日教育部,永久,1386429946.00,1,0921218,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/YYnKvmio1UjVy1_y_c2lGpeMsk6F_4IT4G4IJh2FB5c9t3qEaIu1RDI=
067法登000044,1,1,謝怜聰,281,0671018,0671023,0671024,10冊10頁,,0,陳水逢,財團法人台灣省台中市天理教東肥台中佈教所,0671023,台中市南區光明六巷二０八號,"弘揚教義,廣佈善導,濟世救眾",由小森正信捐助,"台中市政府  六七年二月十三日","永  久",21934034.00,1,0801014,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/pejnbko_wVQ7m4vCx9JZkDl17y9wnF-B1ICkicdqnVBCs6eEhc02dx4=
067法登000054,1,1,謝怜聰,279,0671003,0671003,0671003,10冊8頁,,0,董事長,財團法人台灣省台中市中華基督教天行怖道團,0671003,台中市西屯區西屯路二段二八二巷五０號,"開拓發展新教會，宣揚耶穌基督福音，增進信徒靈性，堅定信仰及辦        理社會公育與慈善事業為宗旨。",由楊剛捐助,六十七年八月九日台中市政府,永久,3368640.00,1,0921218,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/rsvn-_MwYyIhqQvxBXqsv-TFf__XPEQdXPrPwJpzQW6nz_TEEp0WO2I=
067法登000067,1,1,謝怜聰,283,0671104,0671104,0671104,10冊12頁,,0,羅光男,財團法人台灣省台中縣谷關大道院,0671104,台中縣和平鄉博愛村東關路一段四五０號,宏揚宗教教義、興辦社會福利公益慈善事業,信徒捐助,"台中縣政府 六十七年九月十二日",永久,45320000.00,1,0921218,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/iYkZLEWz-grlOXrRe2jc1CsRQ2Cd9OSzFm6cfwQIHjKQ0_STaIlfhfo=
067法登000070,1,1,謝怜聰,284,0671110,0671110,0671114,10冊13頁,,0,洪炳煌,財團法人台灣省私立福壽社會福利基金會,0671110,台中縣沙鹿鎮沙田路四十五號,一、辦理老人福利、低收入急難救助、殘障福利、兒童福利。二、資助教育文化機構，獎助優秀清寒學生學業，資助學術研究，協助社教設施。三、辦理社會福利。四、其他以慈善救濟暨社會福利為目的之設施。,由洪炳煌等捐助。,台灣省政府社會處　　六十七年三月二十一日,永　　　久,26000000.00,1,0840825,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/YM1U6iIBuS3zFCGb937KNNbIpLm56K1iR4fToZdVPrut1Opvf40Ut8c=
067法登000072,1,1,謝怜聰,277,0670901,0670905,0670906,10冊6頁,,0,洪煤枝,財團法人台灣省台中市崇聖寶殿,0670905,台中市北屯區東山路二段五十三之一號,崇奉天上聖母、觀音菩薩、關聖帝君為主神，闡揚聖德，復興中華文化，提倡固有道德，宏揚孔孟思想為主旨。,由洪煤枝捐助,台中市政府　　六十七年七月十二日,永　　久,54634.00,1,0670905,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/mIqQPJ7ZZf51m7wVRtO6LmK-7NgJfNQ9Ylq54okWHv5V46uT77O541Q=
067法登000074,1,1,謝怜聰,274,0671201,0671206,0671207,10冊3頁,,0,王清鎮,財團法人臺灣省臺中市神農大帝神明會,0671206,台中市北屯區北屯路二０九號,以宏揚神農大帝嘉惠農民造福地方之遺德，並配合政府推行復興中華文化道德運動，改善民俗及興辦地方慈善或公益事業為目的。,信徒捐助,"臺中市政府                中華民國六十六年十一月二十八日","永   久",4148545.50,1,0671207,,0710414,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/VaS-1hkvAEv0GWV45k9fh_erMyDpcF8lrvU8zWrdZAmv424R9XQBIdY=
067法登000075,1,1,謝怜聰,275,0670401,0670401,0670402,10冊4頁,,0,"張  篤",財團法人中華基督教浸信會華恩堂,0670401,台中市中華路二段一三二號,傳播福音領人歸主服務社會，辦理教育及慈善事業。,由美南浸信會捐助,"台中縣政府   六十六年十一月一日","永   久",383879.20,1,0670401,,,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/fzch6RK6P7qF4BwyrVqLQ-efR7Xwd0t-zXUIGUsb7FD6CgQSUWDY8HA=
