登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因,網站連結
088法登他000001,2,2,簡福助,115,0880107,0880125,0880125,6冊9頁,2,4,曾正夫,社團法人中華印刷科技學會,0801009,台北市華岡路五五號大義館二樓,以研究印刷科技，提昇印刷工業水準為宗旨。,會員會費及捐助,內政部80.3.18台(80)內社字第九０七八七九號函,永久,864107.00,1,0880125,0890107,0880311,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/ZLtu95g74HgEzbTwf4MSliiAUy4dHpCG7CLMlRyZGMzCxC2PWCXCI80VECM=
088法登他000002,1,2,簡福助,520191,0880107,0880114,0880114,1冊87頁,1,12,張鏡湖,財團法人私立中國文化大學,0821202,台北市士林區華岡路五十五號,辦理中國文化大學，並謀其健全發展。,捐助,51.7.11.教育部台(51)高字第9342號,永久,4353076787.76,1,0880114,0880119,0880119,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/EEbnDdaMc4iNVUjsBOJ22MyEilRmZfugAS2X8A1PAnualAtBxEeA4unHvl9E954=
088法登他000004,2,2,簡福助,402,0880108,0880119,0880120,20冊23頁,,0,張炎元,社團法人中華民國忠義同志會,0801002,台北市士林區雨聲街六五巷六號Ｂ1,以發揚戴雨農將軍忠義愛國精神，團結昔日工作袍澤，結合志同道合人士，互助照顧，增進情感並興辦社會公益事業。,會費、捐助,內政部??台內社字第8070220號,永久,230564.00,1,0880119,0880126,0880126,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/72WCY0xy1WUbdU3Fmfk80Clzm7nSlXrBm3DwZKiwD4tm8MaGYYIxHL-yflE=
088法登他000005,2,2,簡福助,401,0880112,0880116,0880118,20冊21頁,,0,繆彬明,社團法人中華民國天主教病患之友會,0860124,台北市內湖區成功路四段三二四巷三弄十三號四樓,以結合天主教教會內神職人員、教徒、教會團體及社會上善心人士與團體，共同為病患、殘疾及急難人群提供愛心關懷及服務為宗旨。,會費、捐款,內政部?台八五內社字第8582937號,永久,142921.00,1,0880116,0880126,0880126,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/T65Zx_DeBshlfMYdE_L4SrPGPlw0iyO6NN8q5_Neu6P7JSHMoXuZ2jM5tjs=
088法登他000006,1,2,簡福助,620508,0880112,0880114,0880114,3冊1頁,2,7,趙耀東,財團法人台北市私立西湖高級工商職業學校,0821201,台北市內湖區內湖路一段三五三號,以創辦私立西湖高級工商職業學校，並謀其發展為目的。,捐助,五十四年七月五日台灣省政府教育廳教三字第二七九六號,永久,644857948.00,1,0880114,0880128,0880128,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/UwSor2Wvi0jpNNqYzYsBNZMgFgpYskBOwsq5NVR8FqMCUfZXQZ-yHSrQChp98j8=
088法登他000007,1,2,簡福助,500138,0880112,0880121,0880121,1冊65頁,2,16,黃政旺,財團法人台北市私立仁愛院,0500428,台北市內湖區文德路六六巷九九號,以辦理老人安養與育幼社會福利事業為目的。,捐助,台北市政府社會局四十四年八月,永久,10000000.00,1,0880121,0880201,0880201,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/rWip6NCLINlhCqJbNZoimnLwrgwmivkoILXSsfobpwVqIKMPriclDlXSWPRYVzs=
088法登他000008,2,2,簡福助,362,0880113,0880116,0880118,18冊23頁,2,18,洪達夫,社團法人國際獅子會中華民國總會台灣省台北縣淡水獅子會,0870113,台北縣淡水鎮北新路七四號三樓,發揚人類博愛互助精神，增進國際間友好的關係，尊重自由啟發智慧，提倡社會福利，促進國家安全。,會費、捐款,台北縣政府⒑⒍,永久,4209815.00,1,0880116,0880125,0880125,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/RtDastLuJVxOtbEioA5AMDzScmWi-GbL28Uda1SHejqssOBfEcpthzQwX9U=
088法登他000010,1,2,簡福助,570315,0880114,0880116,0880118,2冊39頁,1,11,王紹堉,財團法人銘傳大學,0830603,台北市中山北路五段二五０號,創辦銘傳大學並謀其健全發展。,捐助,教育部⒉⒈台()高字第0996號令,永久,2055607196.00,1,0880116,0880125,0880125,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/zz_1JI5kjgCqu08qiKn4j202lk_agMVckK4Tvg4SLoAaWIEWU1BeQlPPoKkpS0o=
088法登他000011,1,2,簡福助,490124,0880116,0880118,0880119,1冊59頁,2,5,蔣宋美齡,財團法人台北市私立華興育幼院,0491210,台北市士林區仰德大道一段一０一號,除收容國軍烈士遺族外，並依照國家有關法令收容社會貧苦無依或特殊技能兒童、青少年，使成為健全國民為宗旨。,捐助,台北市政府社會局45.4,永久,1354593875.20,1,0880118,0880129,0880129,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/GSt7YQeEu8aEj-0kYduRVmx1GiJh2QGDPmuf_ZO50KIx94nv8r2rM3cXCEtdoYU=
088法登他000012,1,2,簡福助,210,0880122,0880205,0880205,10冊39頁,2,3,李健民,財團法人加惠心理諮商文教基金會,0831110,台北市重慶北路四段七九號五樓之一,發揚心理諮商教育，培育愛心專業人才，並促進心理衛生之文教、學術、公益等活動為宗旨。,由張惠美捐助,教育部82.12.21台(82)社字第七一０九０號函,永久,10000000.00,1,0880205,0880209,0880209,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/5LQUV03rnMyIZQ2cBacevYUY8NxnyzJ9AnAWU0iDiYPn_3lMFNysD0Smcpw=
088法登他000013,1,2,簡福助,185,0880122,0880122,0880122,9冊29頁,1,7,劉燈城,財團法人金融財務研究訓練基金,0830226,台北市中山北路七段八十一巷五十一號,以研究金融財務之知識、技能及相關事項，訓練並培育各級金融從業人員，俾提高業務經營效能，並以推廣、普及各項金融財務專業知識為目的。,捐助,台灣省政府財政廳68.12.20(68)財二字第七六八０二號函,永久,111223825.10,1,0880122,0880202,0880202,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/idugvJM-n79WWRqjVJx2yEyY-ohiY6-KsIsFkf6YmENc5t9E5TE9OUdEelk=
088法登他000014,1,2,簡福助,361,0880130,0880201,0880201,18冊21頁,,0,田弘茂,財團法人國策研究院文教基金會,0870113,台北縣汐止鎮新台五路一段一０六號十九樓,以﹁推動學術暨政策研究及其相關活動﹂為宗旨。,捐助,教育部⒓⒛台社㈣字第86150773號,永久,210000000.00,1,0880201,0880226,0880226,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/OX3IgBV6Q5_Im-H34-mqTCYa-YGW6ETDiMAVdLCnoFI60a35xPOavYDVHHw=
088法登他000015,1,2,簡福助,358,0880130,0880202,0880202,18冊15頁,,0,施振榮,財團法人宏碁基金會,0850713,台北縣汐止鎮新台五路一段八六號二五樓,促進產業之升級，提昇工商管理及其相關資訊之研究發展，以達成現代化及國際化之目的。,由宏碁電腦股份有限公司捐助,經濟部??經商字第85210405號函,永久,203660358.00,1,0880202,0880209,0880209,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/9XeKF6hWBjA-SHl8Xrlgebvx-YTKPU5mli7N8wnpoIpgZKO5NMT5ZYBPaFA=
088法登他000016,1,2,簡福助,197,0880130,0880201,0880201,10冊13頁,1,2,黃雲煥,財團法人中華民國稅務會計教育基金會,0830629,台北市長安西路五八號四樓,以研究發展稅務會計教育，推廣稅務會計知識，提昇各界相關從業人員之專業能力為宗旨。,捐助,教育部83.5.16台(83)社字第二五００五號函,永久,10000000.00,1,0880201,0880209,0880209,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/aHL-_o40W8YMFzL0q2jb7z0j3jdYkM2TpXUmS-Ehi0lvyY0RoCFPYExjixg=
088法登他000017,1,2,簡福助,490118,0880201,0880206,0880208,1冊57頁,1,9,孫知微,財團法人台灣省台北縣私立聖心女子高級中學,0830325,台北縣八里鄉龍形四十六之二號,本會以創辦私立聖心女子高級中學並謀其發展為目的。,捐助,台北縣政府49.9.13,永久,193641366.00,1,0880206,0880302,0880302,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/-qocd520azOoquiltEw5HzoNsdJRV-CuVG_oWInwlEyAXv1u9p7FH3x_eZJFaLY=
088法登他000018,1,2,簡福助,227,0880202,0880204,0880205,11冊33頁,1,2,陳信雄,財團法人淡水文化基金會,0840328,台北縣淡水鎮中正路一六一號,促進淡水藝文發展，建設淡水文化城鎮。,捐助,台北縣政府84.3.13八四北府教三字第八四八九一號,永久,7000000.00,1,0880204,0880219,0880219,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/z6Jot_LQ8fiScJruOG6b2mCLtUU7o7iHkATTk8dg6Bm_pUTKkC6MZLL47XA=
088法登他000019,1,2,簡福助,286,0880202,0880205,0880205,14冊31頁,2,2,唐明月,財團法人同福文教基金會,0840704,台北市南京西路三六號十樓之一,提昇知新致遠，結合人文科技與管理教育之研究，努力服務社會，增進人類福祉。,捐助,台北市政府教育局，中華民國八十四年六月九日北市教四字第二三九五八號函,永久,5000000.00,1,0880205,0880210,0880210,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/vflUOe34oHe1ah0F5lYSSxaVuouZWAJIdANqUKxbfhiyto9aC4yzfGdJtsk=
088法登他000020,1,2,簡福助,179,0880203,0880208,0880209,9冊17頁,2,2,瞿海源,財團法人紀念殷海光先生學術基金會,0821209,台北市南港區研究院路二段七十巷五五號四樓,"為紀念殷海光先生闡揚自由主義與民主制度的思想貢獻，鼓勵後來者        在學術文化領域繼續為自由的價值和民主的生活方式努力。",捐助,"台北縣政府82.11.26八二北府教三字第四三五七七一號函   主管機關變更為：台北市政府教育局。",永久,5000000.00,1,0880208,0880302,0880302,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/dr6-duobrXkqutnvRDG78KPWLGtl840daKTj1sso5V_UnUqz6fSHEnmvpOU=
088法登他000022,1,2,簡福助,660718,0880206,0880208,0880209,3冊63頁,,0,曲維新,財團法人基督教長老會福音山教會,0660620,台北市南港區南深路五十巷十號,在台灣地區傳佈基督教義並辦理社會救濟及教會事業。,捐助,台北市南港區公所??北市南民字第8425號,永久,1896450.00,1,0880208,0880225,0880225,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/TTwIA11cjYAskPLOLllFjd4u_A6S7V1YFlXRdFFUomReehxbePEFJcV5XikCP-s=
088法登他000023,1,2,簡福助,540241,0880209,0880211,0880212,2冊11頁,1,10,焦威聯,財團法人台北市私立十信高級工商職業學校,0821211,台北市北投區大業路五一四號,為協助政府發展教育。,捐助。,台灣省政府教育廳54.3.4教三字第四七七八二號,永久,138545217.71,1,0880211,0880304,0880304,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/uPcr9tZAxiCDN8wMBF1f3kCuCE3do3z_7ud7fG9RfGANhz0hdaXnTFrNNkGUgiM=
088法登他000024,1,2,簡福助,116,0880210,0880211,0880212,6冊11頁,1,3,章民強,財團法人台北市聖道兒童基金會,0801021,台北市天母東路六之三號,本基督教博愛精神，支持與贊助聖道兒童之家暨社會上貧苦孤兒及不幸青少年，以收容、教育其至學業完成及輔導就業之慈善事業為宗旨。,捐助,台北市政府社會局80.9.26,永久,54370987.00,1,0880211,0880226,0880226,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/SRe5BDKho_VbtYBMPdEQLo5Amb6vLF9cOZfVunDX-2Vb_JzglOiYh761UCk=
088法登他000027,1,2,簡福助,406,0880211,0880211,0880212,20冊31頁,,,陳子欽,財團法人世界客屬文教基金會,0780201,台北市華陰街四一號三樓,舉辦及獎助世界客屬文教公益事業為宗旨。,捐助,教育部78年1月24日台（78）高０三三八七號函,永久,1000000.00,1,0880211,0880226,0880226,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/tKz7mEvJhmLqUPkOBQTtCtae70173Vkpo6yLFmlmqOT1dsNK0a6wR_drpgo=
088法登他000028,1,2,簡福助,13,0880223,0880224,0880206,1冊25頁,2,4,閻振興,財團法人生物醫學科學基金會,0750203,台北市研究院路二段一二八號,促進醫學及醫學有關之生命科學各種學科之發展，厚植社會及國家醫學科學基礎，提昇科技品質增進國人以至全人類之健康。,捐助,教育部75.1.23台(75)高字第三０三０號,永久,4000000.00,1,0880224,0880312,0880312,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/485Y9QCMzpVAByngQTNVDSGXdogq0ew99BOqfXTOWhgL0fIVCK1-zWDbZQ==
088法登他000031,1,2,簡福助,326,0880303,0880311,0880311,16冊31頁,,0,程東照,財團法人台灣癌症臨床研究發展基金會,0860716,台北市北投區石牌路二段二０一號,以鼓勵優秀癌症臨床醫學人員，研究發展固體腫瘤學、血液腫瘤學及骨髓和造血細胞移植，增進國際癌症臨床醫學交流，提高我國癌症臨床醫學水準。,捐助,行政院衛生署86.7.2衛署醫字第86035823號,永久,11500000.00,1,0880311,0890107,0880325,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/IEU0luimw0WWU-JkqugmsDcC7aRBAlQseSG-bw8LY6PBOQeD7KDCvGw6rPM=
088法登他000032,1,2,簡福助,182,0880303,0880303,0880303,9冊23頁,1,2,尹衍樑,財團法人尹書田紀念醫院,0821224,台北縣三芝鄉後厝段,以舉辦泌尿系統疾病之醫療及醫學研究為目的。,由尹衍樑先生及中央投資股份有限公司捐助,行政院衛生署82.11.4衛署醫字第八二六七五二六號函,永久,1000000000.00,1,0880303,0880311,0880311,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/e2imVLR8Ix7x7sHNIEcUbZ95Ea9wVDSGzUYG47Wqtw-nXlo9cZ8iWc9Ssjw=
088法登他000033,1,2,簡福助,550306,0880306,0880309,0880310,2冊37頁,1,10,何紀豪,財團法人中國海事商業專科學校,0830302,台北市延平北路九段二一二號,為遵照國家教育政策暨現行教育法令之規定，辦理中國海事商業專科學校，並謀其健全發展。,捐助,教育部55.2.10台(55)高字第一六九四號函,永久,584865260.00,1,0880309,0890107,0880315,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/HxgZcyK8QgN_Ji9pR0Ur2ebbs6HKC4iHyYTNTT7T8OtCMWC2R7r8Ekz2nKVQeTY=
088法登他000035,1,2,簡福助,38,0880309,0880309,0880310,2冊17頁,1,4,張茂松,財團法人鄒濟勳醫學研究發展基金會,0770226,台北市北投區石牌路二段二０一號,以推展策劃資助醫師、護理、技術、行政、工程、營養及社工等醫院有關人員繼續教育，出國進修、參觀、訪問、開會與研究，並積極提供上述人員再教育的資訊、機會、場所、師資，以資助其費用為主。,捐助,行政院衛生署77.1.20衛署醫字第七０七四九一號函,永久,102160830.00,1,0880309,0880315,0880315,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/oEyrsHTnt0T3HMZkE6BHLDvw6J4iIpWxv9meIT6hu1DwNrFk3LueSgsXrQ==
088法登他000036,1,2,簡福助,590389,0880310,0880311,0880311,2冊65頁,2,4,蔣宋美齡,財團法人振興復健醫學中心,0591003,台北市北投區振興街四十五號,以醫療病患、闡揚醫學、學術研究、培植人才及擴大醫療服務為目的。,捐助,陽明山管理局改制為行政院衛生署59.3.3,永久,2614199232.00,1,0880311,0880318,0880318,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/lkkgZ9hs4tFpwAzhzVvqaW3IFVwXwAJO61H8PV8lJxL2E8X-A5t2x0YH-kPhfGY=
088法登他000039,1,2,簡福助,130,0880315,0880316,0880317,6冊39頁,2,4,許憬春,財團法人台北市私立聖保羅老人養護所,0810515,台北市北投區大興街九巷六十七號一、二樓,提供罹患慢性疾病或癱瘓老人寧靜、安全、衛生之環境及設備，增進老人健康及確保老人生活照顧。,捐助,台北市政府社會局81.4.24,永久,3087000.00,1,0880316,0890107,0880322,,,,,,,,,,,定),,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/k1DoDMSrVcygxNcDx1lY8AXvpuNXNibAnZ_zsgdjsQiG9lkLFfNU6XQhw-o=
088法登他000040,1,2,簡福助,208,0880315,0880316,0880317,10冊35頁,2,4,蔡衍榮,財團法人台北市仕招社會福利基金會,0831103,台北市大同區西寧北路七十二號,以舉辦或捐助社會福利慈善事業為目的。,捐助,台北市政府社會局78.1.9北市社二字第四六八二０號函,永久,20000000.00,1,0880316,0890107,0880401,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/FRSxpM9heSLa16IACfyX9-sL-rVmYt0YiXBuamFy3ZIVeP2jl3N7fZh3y2s=
088法登他000043,1,2,簡福助,415,0880323,0880324,0880324,21冊9頁,,0,林安誠,財團法人樂林文教基金會,0830624,台北縣汐止鎮忠三街三五巷十一號三樓,以提倡音樂及藝術活動，發揮社會教育，宏揚文化為宗旨。,捐助,台北縣政府八十三年六月十七日北府教三字第二０八八七五號函,永久,2000000.00,1,0880324,0890107,0880401,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/Vt0bSKpfVQX0hEt8oTuAbc7V6bINsKQeDHxuknpcpeTZf8iKDWM7LOv62Jk=
088法登他000044,1,2,簡福助,287,0880402,0880412,0880415,14冊33頁,2,21,許介圭,財團法人中國生產力中心,0450626,台北縣汐止鎮新台五路一段七九號二樓,以傳播工業技術、增加管理效能、加強勞資協調、改良生產方法、藉以提高工業生產能力，增進自由中國國民經濟為自的。,捐募,經濟部中華民國四十五年六月廿日發文經台四五工字第０六０二六號,永久,10000000.00,1,0880412,0890107,0880503,,,,,,,,,,,,,,,,https://aomp109.judicial.gov.tw/judbp/whd6k/q/SF1_DUvVc6PAsp70L1lhZiGmh1TXpHwW5-DSUubke3q_kfCWpM8ewXlP8uM=
